FoodEstabKey,EstablishmentKey,businessname
1580,1580,La Cancun
1581,1581,La Casa del Pan Debono
1582,1582,La Catrina
1583,1583,La Chapi Market
1584,1584,LA CHIVA RESTAURANT
1585,1585,La Colombe Torrefaction
1586,1586,La Cuchara Restaurant  Inc.
1587,1587,La Esquina Restaurant
1588,1588,LA FAMIGLIA RISTORANTE
1589,1589,La Familia II
1590,1590,La Favorita Market
1591,1591,La Galleria 33
1592,1592,La Gran Manzana
1593,1593,La Hacienda Restaurant Bar
1594,1594,La La Restaurant
1595,1595,La Lechonera Restaurant
1596,1596,La Mamma Pizza And More
1597,1597,La Parrilla
1598,1598,La Peraviana Market
1599,1599,LA REINA
1600,1600,LA SULTANA BAKERY
1601,1601,LA SUMMA
1602,1602,La Taqueria
1603,1603,LA TERRAZA RESTAURANT
1604,1604,La Union Market and Butchery
1605,1605,La Voile Brasserie
1606,1606,LaBardy's Cafe Restaurant
1607,1607,LaColombe Torrefaction Inc.
1608,1608,Land of Pizza
1609,1609,LANDMARK @ LONGWOOD
1610,1610,Landmark News
1611,1611,Landmark Public House
1612,1612,Langham Hotel
1613,1613,Langham Hotel (Chuan Body & Soul)
1614,1614,Lani's Pizza
1615,1615,Lanta Asian Cuisine
1616,1616,LANZILLI GROCERIA
1617,1617,LARRY J'S BBQ CAFE
1618,1618,LAS PALMAS MARKET
1619,1619,LAS PALMAS RESTAURANT
1620,1620,Las Vegas Seafood Restaurant
1621,1621,LAS VILLAS MARKET
1622,1622,LATINO RESTAURANT
1623,1623,Latinos Restaurant
1624,1624,Laugh Boston
1625,1625,Laughing Monk Cafe
1626,1626,Lavietes Pavillion
1627,1627,LAZ CAFE
1628,1628,LB1
1629,1629,LBG
1630,1630,LC1/Pizza/LB2
1631,1631,LC2/LY1
1632,1632,LC4
1633,1633,Lean & Green Gourmet
1634,1634,Ledeta Gebeya
1635,1635,Lee's Supermarket
1636,1636,Left Field Inseat
1637,1637,Left Field Pantry
1638,1638,Legal Crossing
1639,1639,Legal Fish Bowl
1640,1640,Legal Harborside
1641,1641,Legal Oysteria
1642,1642,LEGAL SEA FOOD
1643,1643,Legal Sea Foods
1644,1644,Legal Sea Foods (B Connector)
1645,1645,Legal Sea Foods (Logan Airport Trmnl C)
1646,1646,LEGAL SEAFOOD
1647,1647,LEGAL SEAFOODS
1648,1648,Legends Bar & Grill
1649,1649,Lenox Hotel (5 Food Serv. Loc.)
1650,1650,Le's Restaurant
1651,1651,Levi's Restaurant & Lounge
1652,1652,Levy Premium Food Court 1
1653,1653,Levy Premium Food Court 2
1654,1654,Levy Premium Food Court 3
1655,1655,Levy Premium Food Court 4
1656,1656,Levy Premium Food Court 5
1657,1657,Levy Premium Main Kitchen & Commissary
1658,1658,LFV
1659,1659,Liberty Diner
1660,1660,Liberty Mutual Berkeley Cafeteria (2nd Fl)
1661,1661,Liberty Mutual Grab & Go
1662,1662,LICKS CAFE
1663,1663,Life Alive
1664,1664,Lilly Gourmet Pasta Express
1665,1665,Lily's Market
1666,1666,Lime Red Tea House
1667,1667,Limelight Stage & Studios
1668,1668,LIMONCELLO
1669,1669,Lincoln Bar & Grill
1670,1670,Lincoln Tavern
1671,1671,Lindt Chocolate
1672,1672,Lion's Tail
1673,1673,Liquor 4
1674,1674,LIR
1675,1675,LITTLE ASIA RESTAURANT
1676,1676,Little Caesars
1677,1677,Little Dipper
1678,1678,Little Haiti International Cusine
1679,1679,Little Pickins
1680,1680,Little Pizza King
1681,1681,Little Steve's Pizza
1682,1682,Liuyishon Hotpot Boston
1683,1683,Llanera Sup. Market
1684,1684,Lobstah On A Roll
1685,1685,Local 149
1686,1686,Local 338 Bagels & Coffee
1687,1687,Locale
1688,1688,Loco Taqueria & Oyster Bar
1689,1689,LOCONTES RESTAURANT
1690,1690,Loews Boston Hotel
1691,1691,Lola 42
1692,1692,Lola Burger
1693,1693,Lolita Cocina & Tequila Bar
1694,1694,LONGWOOD HOTEL CORP.
1695,1695,Lookout Rooftop and Bar
1696,1696,Lord Jeff's Beef Place
1697,1697,Lorettas Last Call
1698,1698,Lori's Gifts No. 341
1699,1699,Los Amigos
1700,1700,Los Amigos Mexican Grill
1701,1701,Los Antojitos Restaurant
1702,1702,LOS ARRIEROS REST
1703,1703,Los Caballeros Market Inc.
1704,1704,Los Paisanos Market
1705,1705,Los Pinos Restaurante Mexican Grill
1706,1706,L'OSTERIA RESTAURANT
1707,1707,Love Art Sushi
1708,1708,LOWER DINING CORCORAN DINING FACILITY
1709,1709,Lower Mills Tavern
1710,1710,LTK Bar and Kitchen and Legal Test Kitchen
1711,1711,Lu Fu Zi
1712,1712,Lucca Back Bay
1713,1713,Lucca North End
1714,1714,Lucca Restaurant & Bar
1715,1715,Lucia Ristorante
1716,1716,LUCKY BOSTON CHINESE REST.
1717,1717,LUCKY CAFE
1718,1718,Lucky Rice
1719,1719,Lucky Sun Inc.
1720,1720,LUCKY'S
1721,1721,Lucy Ethopian Cafe
1722,1722,Lucy's American Tavern
1723,1723,Lufthansa Airline
1724,1724,Luke's Lobster
1725,1725,LULUS' ALLSTON
1726,1726,Luna Fitness Club
1727,1727,Luna's
1728,1728,LY2
1729,1729,LY4/LB4
1730,1730,LYNCH'S EVERYDAY
1731,1731,M & J Teriyaki
1732,1732,M & R Store
1733,1733,M G NEWS
1734,1734,M.G. News of Boston (So. Station-Subway)
1735,1735,M.G.S. Cafe Inc.
1736,1736,M.J. O'CONNOR'S
1737,1737,M/V Fort Independence
1738,1738,M/V Frederick Nolan Jr.
1739,1739,M/V Majestic
1740,1740,M/V MAJESTY
1741,1741,M/V Regency
1742,1742,M/V Rendezvous
1743,1743,M/V Rookie
1744,1744,Ma La Restaurant
1745,1745,Ma Maison
1746,1746,Machine
1747,1747,MACUMBA LATINA
1748,1748,Macy's Starbucks Kiosk
1749,1749,Madina Halal Market
1750,1750,Madison Park High School
1751,1751,MADONNA SHRINE
1752,1752,MAGGIANO'S
1753,1753,Maggie's Grill @ Franklin Park Golf Course
1754,1754,MAGIC WOK RESTAURANT
1755,1755,Mai
1756,1756,Mai Cuisine
1757,1757,Mainely Burgers
1758,1758,Mala Kungfu
1759,1759,Mamaleh's Delicatessen
1760,1760,MAMMA MARIA RESTAURANT
1761,1761,Mana Escondido Cafe
1762,1762,Mandarin House
1763,1763,Mandarin Oriental Hotel
1764,1764,MANGIA MANGIA
1765,1765,Mangu Dominican Bistro
1766,1766,Maria's Taqueria
1767,1767,MARINER'S HOUSE
1768,1768,Mario's Pizzeria
1769,1769,MARIO'S RESTAURANT
1770,1770,Mario's Subs & Salad
1771,1771,Market Cafe
1772,1772,Market Fresh Kitchen
1773,1773,Market Place West 3 - Stand No. 104
1774,1774,Market Street Gulf
1775,1775,Marketplace Cafe & Take Away
1776,1776,Marriott Copley Plaza (28th Fl.)
1777,1777,MARRIOTT HOTEL-COPLEY PLACE
1778,1778,Marriott/Copley Connexion Lounge
1779,1779,MARRIOTT/COPLEY PL. CHAMPION'S
1780,1780,MARRIOTT'S CUSTOM HOUSE
1781,1781,Martin News
1782,1782,MARTIN NEWS SHOP
1783,1783,Martin's New Shops
1784,1784,Martin's News
1785,1785,Martin's News (St. James St.)
1786,1786,Martin's News Shops No. 1
1787,1787,Martin's News Shops of Boston
1788,1788,Marty's Big Buy
1789,1789,Mary Ann's
1790,1790,Mary Ann's Monday Morning  Inc.
1791,1791,Maryann's Breakfast & Lunch
1792,1792,MASA
1793,1793,Masona Grill
1794,1794,MASS ART DINING COMMONS
1795,1795,Mass Bay Lines/Freedom
1796,1796,MASS EYE AND EAR INFIRMARY
1797,1797,Mass Gen. Hosp./Tea Leaves & Coffee Beans
1798,1798,Mass General Hospital Cafe
1799,1799,Mass General Hospital/Coffee Central
1800,1800,MASS. COLLEGE OF PHARMACY
1801,1801,Massachusetts Eye & Ear EyeOpener Cafe
1802,1802,Massachusetts Eye & Ear Infirmary Eye Opener Cafe
1803,1803,Massiminos Cucina
1804,1804,Mast' Restaurant
1805,1805,MASTER WOK
1806,1806,Mastro's Ocean Club
1807,1807,Matos Markets
1808,1808,Mattapan House of Pizza
1809,1809,Mattapan Sun Fish
1810,1810,MATTHEWS ARENA CONCESSION
1811,1811,Maverick Marketplace
1812,1812,Maverick Multi Service Groceri Inc.
1813,1813,Maverick Street Market
1814,1814,Max Brenner
1815,1815,MAX'S DELI CAFE
1816,1816,Mayhew Wine Shop
1817,1817,Mc Cafe
1818,1818,Mc Goo's Pizza
1819,1819,McCracken Auto Express
1820,1820,McCrea's Candies
1821,1821,Mcdonalds
1822,1822,MCGANN'S BOSTON
1823,1823,McGreevys
1824,1824,MCKENNA'S CAFE
1825,1825,MDM Noodle
1826,1826,Media
1827,1827,MEDITERRANEAN GRILL
1828,1828,Mediterranean Home Cooking
1829,1829,MEGUMI OF JAPAN
1830,1830,Mehak Restaurant
1831,1831,Mei Mei Restaurant
1832,1832,Mei Mei Street Kitchen
1833,1833,MELA RESTAURANT
1834,1834,Melo Dias
1835,1835,Melt
1836,1836,Menton
1837,1837,MERENGUE RESTAURANT
1838,1838,Meridian Corner Market
1839,1839,Meridian Street Mobil
1840,1840,Merkato Variety Store
1841,1841,METRO SUBWAY
1842,1842,METRO SUBWAY INC.
1843,1843,METROPOLIS CAFE
1844,1844,Metropolitan In Town Restaurant Bar
1845,1845,MG NEWS OF BOSTON
1846,1846,Mi Pueblito Orient Heights
1847,1847,Mi Pueblito Restaurant
1848,1848,MI RANCHO RESTAURANT
1849,1849,MIAMI RESTAURANT
1850,1850,Michael Schlow Italian Kitchen
1851,1851,MIDA Restaurant
1852,1852,Midway Cafe
1853,1853,Miel Brasserie
1854,1854,Mighty Love Food
1855,1855,Mija Cantina and Tequila Bar
1856,1856,Mike and Patty's
1857,1857,Mike's Cafe
1858,1858,MIKE'S CITY DINER
1859,1859,MIKES DONUT SHOP
1860,1860,MIKES DONUTS
1861,1861,MIKE'S FITNESS
1862,1862,MIKE'S PASTRY INC.
1863,1863,Mikes Vending L L C @ Constitution Beach
1864,1864,Milano Pizzeria & Pasta
1865,1865,MILANO'S DELI
1866,1866,MILK ST CAFE
1867,1867,Milkweed
1868,1868,MILLENNIUM STORE II INC
1869,1869,Millennium Store Inc.
1870,1870,Millennium Tower Residents Only Amenity Restaurant
1871,1871,Ming Kee Poultry
1872,1872,Ming's Supermarket
1873,1873,Mini Central
1874,1874,Minibar
1875,1875,MiniGrow
1876,1876,Minina's Cafe
1877,1877,Mirabella Pool Concession
1878,1878,Mirisola's
1879,1879,MISONO GRILL
1880,1880,MISONO RESTAURANT
1881,1881,MISSION BAR & GRILL
1882,1882,MISTRAL
1883,1883,Miyuki Sushi
1884,1884,MMMAC N' CHEESE
1885,1885,Mobile Cooks
1886,1886,MOBYDICK
1887,1887,MODEL CAFE
1888,1888,Modern Pastry Shop I I
1889,1889,Mofongo House
1890,1890,Moko
1891,1891,Molinari's
1892,1892,Molly's Beachside
1893,1893,Molly's Farmhouse Coffee
1894,1894,Momogoose 2
1895,1895,Momogoose 3
1896,1896,Momogoose 4
1897,1897,MONICA'S RESTAURANT
1898,1898,Monica's Trattoria
1899,1899,Montecristo Mexican Grill
1900,1900,Montilios Bakery
1901,1901,Monument Tavern
1902,1902,Monumental Meat Market
1903,1903,Moody's Delicatessen & Provisions
1904,1904,MOOGY'S SANDWICH SHOP INC.
1905,1905,Moon & Flower House
1906,1906,Mooncusser Fish House & Moon Bar
1907,1907,MOONSHINE 152
1908,1908,Mooo...
1909,1909,MOOYAH
1910,1910,MORGAN HALL COFFEE CART
1911,1911,Morgan Lewis & Bockius LLP
1912,1912,MORGAN MEMORIAL CAFETERIA
1913,1913,MORGAN VARIETY
1914,1914,Morning Star Baptist Church
1915,1915,MoRockin Fusion
1916,1916,Morton Market
1917,1917,Morton Wine & Liquor
1918,1918,Morton's of Chicago
1919,1919,MORTON'S PIZZERIA
1920,1920,MOTHER ANNA'S
1921,1921,Mother Juice Inc.
1922,1922,Moyzilla
1923,1923,Moyzilla No. 2
1924,1924,Moyzilla No. 3
1925,1925,Moyzilla No. 4
1926,1926,MR. DOOLEYS BOSTON TAVERN
1927,1927,MRS. B'S CAFE
1928,1928,Ms. Clucks Deluxe Chicken & Dumplings
1929,1929,Mt. Olympic Pizza
1930,1930,Mud House
1931,1931,Muddy River Herbals
1932,1932,Muddy Water Coffee Roasters
1933,1933,MUL'S DINER
1934,1934,Mumbai Spice
1935,1935,MURPHY'S LAW
1936,1936,Museum of Fine Arts Bravo Restaurant
1937,1937,Museum of Fine Arts Cafeteria
1938,1938,Museum of Fine Arts New American Cafe
1939,1939,Museum of Fine Arts-Taste D/B/A No. 19285
1940,1940,Museum of Science
1941,1941,MY COUSIN'S PLACE
1942,1942,My Sisters Crawfish
1943,1943,My Thai Cafe Vegetarian & Bubble Tea Bristro
1944,1944,Myers & Chang
1945,1945,Mythos Pizza
1946,1946,Myung Dong 1st Ave
1947,1947,N & M MARKET
1948,1948,N.E. Deaconess Hospital Cafe
1949,1949,N.U. Stetson Hall East
1950,1950,N.U. Stetson Hall West
1951,1951,Nachlo
1952,1952,Naco Taco
1953,1953,Naco Taco II
1954,1954,Nahita
1955,1955,Napoles
1956,1956,Napper Tandys
1957,1957,NAS Convenience Inc.
1958,1958,Natalie's Candy Jar
1959,1959,Natalie's Pizza
1960,1960,Nathalie Wine Bar
1961,1961,Natif Natal Restaurant
1962,1962,Navarrete Restaurant
1963,1963,NAVY YARD BISTRO & WINE BAR
1964,1964,Nebo Ristorante/Enoteca
1965,1965,Ned Devine's
1966,1966,NEIGHBORHOOD CONVENIENCE
1967,1967,Neighborhoods
1968,1968,Neponset Cafe
1969,1969,NEPTUNE RESTAURANT
1970,1970,New Cappy's Corner
1971,1971,NEW CHINA RESTAURANT
1972,1972,New Dong Khanh Restaurant
1973,1973,NEW ENGLAND AQUARIUM CORP.
1974,1974,NEW ENGLAND BAPTIST
1975,1975,New England Center For Arts & Technology
1976,1976,NEW GOLDEN GATE RESTAURANT
1977,1977,NEW HO TOY
1978,1978,New Hong Kong
1979,1979,New Jumbo Seafood
1980,1980,New Market Pizza & Grill
1981,1981,New Market Sq. Cafe
1982,1982,New Moon Villa Restaurant
1983,1983,New Saigon Restaurant
1984,1984,NEW SAIGON SANDWICH INC.
1985,1985,New Shanghai
1986,1986,NEW STORE ON THE BLOCK
1987,1987,New Sushi
1988,1988,New Sushi @ Allston
1989,1989,NEW YORK FRIED CHICKEN & PIZZA
1990,1990,New York Pizza
1991,1991,NEW YORK STYLE CHICKEN AND PIZZA
1992,1992,New York Sub Shop
1993,1993,New Yorker Fried Chicken
1994,1994,News Room Cafe
1995,1995,Newslink Boston No.  27 (TRMNL A)
1996,1996,Newslink of Boston Space 28
1997,1997,Newslink Space No.  10
1998,1998,Newslink Space No.  16
1999,1999,Newslink Space No.  2
2000,2000,Newslink Space No.  20
2001,2001,Newslink Space No.  22
2002,2002,Newslink Space No.  25
2003,2003,Newslink Space No.  26
2004,2004,Newslink Space No.  34
2005,2005,Next Door Cafe
2006,2006,Next Step Soul Food Cafe
2007,2007,Nfarra 2
2008,2008,Nhu Lan Fast Food
2009,2009,NHU LAN Restaurant
2010,2010,Nicholas Sub & Pizza Shop
2011,2011,NICKERSON FIELD (BU)
2012,2012,NICK'S
2013,2013,NICK'S LIQUORS
2014,2014,Nick's Pizza & Seafood/Broadway Best Pizza
2015,2015,Nick's Pizza and Seafood
2016,2016,Nicks/Venue
2017,2017,Nico Restaurant
2018,2018,NICOLE'S PIZZA
2019,2019,Night Shift Brewing
2020,2020,Night Shift Eats
2021,2021,Nine Bar Espresso
2022,2022,Nino's Pizza
2023,2023,Niva Dowtown Boston Gift Shop
2024,2024,NIXON & PEABODY
2025,2025,NO NAME
2026,2026,No.  7 RESTAURANT
2027,2027,No. 1 Chinese Restaurant
2028,2028,No. 9 Park LLC
2029,2029,Noble Roman's Pizza & Tuscano's Subs
2030,2030,Noodle Barn
2031,2031,NOODLE STREET RESTAURANT
2032,2032,Noodles King
2033,2033,Norfolk Hardware & Home Center
2034,2034,North East of the Border
2035,2035,North East of the Border No. 2
2036,2036,North Square Oyster
2037,2037,NORTH STREET GRILLE & CAFE
2038,2038,NORTHEASTERN UNIV. RYDER HALL
2039,2039,Northeastern Univ./International Village
2040,2040,Northeastern Univ/Curry Center
2041,2041,NORTHEASTERN UNIV-716 COLUMBUS
2042,2042,Northeastern University Faculty Club
2043,2043,Northeastern University/Cafe Crossing
2044,2044,Nos Casa Cafe
2045,2045,Nourish Your Soul
2046,2046,Nu Flav Restaurant
2047,2047,Num Pang Sandwich Shop
2048,2048,NUNEZ MARKET
2049,2049,Nutter  McClennen & Fish LLP
2050,2050,O YA RESTAURANT
2051,2051,Oak & Rowan
2052,2052,OASIS GUEST HOUSE
2053,2053,Oasis Restaurant
2054,2054,Oath Craft Pizza
2055,2055,O'Brien's Liquor
2056,2056,O'Brien's Pub
2057,2057,Ocean Prime
2058,2058,ODDS & ENDS VARIETY
2059,2059,ODYSSEY CRUISES
2060,2060,Ogawa Coffee
2061,2061,Oishii Boston
2062,2062,Old Colony Wine
2063,2063,Olitoki
2064,2064,OLIVEIRA'S RESTAURANT
2065,2065,Olympic House of Pizza
2066,2066,OMNI PARKER HOUSE
2067,2067,One Energy Inc.
2068,2068,One Family Diner Inc.
2069,2069,ONLY ONE JAMAICAN RESTAURANT
2070,2070,Ora
2071,2071,Orfano
2072,2072,Orient Height Food Market
2073,2073,ORIENTAL HOUSE
2074,2074,ORINOCO:A LATIN KITCHEN
2075,2075,O'Saraceno
2076,2076,Ostra
2077,2077,Otto
2078,2078,Our Father's Deli
2079,2079,Our Zone
2080,2080,Outlook Kitchen & Bar (Envoy 1St. Fl)
2081,2081,P & R ICE CREAM
2082,2082,P & R Restaurant & Ice Cream Parlor
2083,2083,P.F.CHANG'S CHINA BISTRO
2084,2084,PABU Restaurant
2085,2085,PAD THAI CAFE
2086,2086,Padduck Concession
2087,2087,PADDY O'S
2088,2088,Pagliuca's Restaurant
2089,2089,Palm  Restaurant  (1 International Place)
2090,2090,Panera Bread
2091,2091,Panera Bread No.  1636
2092,2092,PANIFICIO
2093,2093,Pantry Pizza Kitchen
2094,2094,Panza
2095,2095,PAPA GINO'S
2096,2096,Papa Razzi Trattoria Bar
2097,2097,PAPA RINO'S PIZZA
2098,2098,Papagayo
2099,2099,Papa's Pizza Company
2100,2100,Papi's Market
2101,2101,Papi's Stuffed Sopapillas
2102,2102,PARADISE
2103,2103,PARAMOUNT
2104,2104,Paris Creperie Seaport
2105,2105,PARK N GO
2106,2106,PARK SQ CAFE
2107,2107,Park Street Express
2108,2108,PARKWAY LITTLE LEAGUE STAND
2109,2109,PARLA
2110,2110,Pasta Beach
2111,2111,PASTEUR RESTAURANT I I
2112,2112,Pastoral
2113,2113,PATRIOT NEWS INC
2114,2114,PATS PIZZA
2115,2115,Pat's Place
2116,2116,Pauli's
2117,2117,PAV1A
2118,2118,PAVB1
2119,2119,PAVB3
2120,2120,PAVC1
2121,2121,PAVC3
2122,2122,Pavement
2123,2123,Pavement Coffee House
2124,2124,Pavement Coffeehouse
2125,2125,Pavia
2126,2126,Pavillion Restaurant
2127,2127,PEACH FARM RESTAURANT
2128,2128,Peet's Coffee & Tea
2129,2129,Peet's Coffee & Tea (Kiosk Gate B19)
2130,2130,Peet's Coffee & Tea(United Terminal BA A34)
2131,2131,Peet's Coffee Shop
2132,2132,Pei Wei
2133,2133,PEKING HOUSE
2134,2134,Pellinos Ristorante
2135,2135,Penang
2136,2136,Penguin Pizza
2137,2137,Pennypackers 2
2138,2138,Pepper Palace
2139,2139,Peregrine
2140,2140,PERKIN'S SQ DELI
2141,2141,Perla Del Sur Quintanilla
2142,2142,Perros Paisas
2143,2143,Peter Ungar
2144,2144,Pete's Dockside
2145,2145,PETIT ROBERT BISTRO
2146,2146,Petro Plus Super Station
2147,2147,PGA Tour Grill
2148,2148,Philadelphia Steak & Hoagie
2149,2149,Philips Candy House
2150,2150,Phinix Grill Mediterranean
2151,2151,Pho & Banh Mi
2152,2152,PHO 2000
2153,2153,PHO AND I  INC.
2154,2154,Pho Basil
2155,2155,Pho Common
2156,2156,Pho Hoa Restaurant
2157,2157,Pho Le
2158,2158,Pho No. 1 Brighton
2159,2159,PHU CUONG MARKET(1188 Dor. Ave.)
2160,2160,Phuket Thai  Restaurant
2161,2161,Piattini
2162,2162,Picalonga Restaurant
2163,2163,Picco
2164,2164,Piece of Pizza
2165,2165,Pier 6 Restaurant
2166,2166,Pikalo J.P.
2167,2167,Pikalox
2168,2168,Pimentel Market
2169,2169,Pina's Grocery
2170,2170,Pino's Pizza House
2171,2171,Piperi Restaurant
2172,2172,Pit Stop Barbecue
2173,2173,Pit Stop RM
2174,2174,Pita Kabob
2175,2175,Pita Thyme
2176,2176,Pizza 10
2177,2177,Pizza 24
2178,2178,Pizza Cucinova
2179,2179,Pizza Days
2180,2180,Pizza E.T.C.
2181,2181,Pizza Hut
2182,2182,PIZZA OGGI
2183,2183,Pizza Rail
2184,2184,Pizzatalia
2185,2185,Pizzeria 260
2186,2186,Pizzeria Regina
2187,2187,PIZZERIA REGINA OF SO. STATION
2188,2188,Planet Gracie
2189,2189,Playa Bowls
2190,2190,Plaza Fish II
2191,2191,Plaza Meat Market
2192,2192,Pleasant Cafe
2193,2193,PO6/BO7/PBD
2194,2194,POCKETS BILLIARD CLUB
2195,2195,Poke Bar & Kitchen
2196,2196,Pollo Campero
2197,2197,Pollo Centro
2198,2198,Pollos A La Brasa Beto's
2199,2199,POMAIRE BOSTON CHILEAN GRILL
2200,2200,Popeyes
2201,2201,Popover King
2202,2202,PORTER BELLY'S
2203,2203,PORTERS BAR & GRILL
2204,2204,Portillo Brothers Market
2205,2205,Portillo Food Market
2206,2206,Porto
2207,2207,Post 390
2208,2208,Posto
2209,2209,Potato Freaks
2210,2210,Potbelly Sandwich Shop
2211,2211,Potbelly Sandwich Shop (275 Washington St.)
2212,2212,Potluck Cafe
2213,2213,Precinct Kitchen & Bar
2214,2214,Premium Market
2215,2215,PRESIDENT'S SUITE
2216,2216,Pressed Boston
2217,2217,Pressed Juicery
2218,2218,Prestige Cuisine
2219,2219,Prestige Stoughton Gas Inc.
2220,2220,Pret A Manger
2221,2221,Pret A Manger (185 Franklin St.)
2222,2222,Pret-A-Manger
2223,2223,PREZZA
2224,2224,Price Rite of Hyde Park
2225,2225,Prieto El Rey De Las Empanadas
2226,2226,Prime Now LLC
2227,2227,Prime Shoppe
2228,2228,Primo Mini Mart
2229,2229,PRIMO'S RESTAURANT
2230,2230,Project Place Gatehouse
2231,2231,PROVIDENCE HOUSE SENIOR COMM.
2232,2232,PROVINCE PLACE
2233,2233,Prow/Max Cafe @Emerson
2234,2234,PS Coffee
2235,2235,Pu Pu Restaurant
2236,2236,Publico
2237,2237,PuddingStone Tavern
2238,2238,Pueblo Viejo
2239,2239,Pueblo Viejo Pupuseria & Mexican Grill
2240,2240,Pueblo Viejo's Cafe
2241,2241,PUNJAB MINI MART
2242,2242,PunJab Palace
2243,2243,PUNTO ROJO
2244,2244,PURITAN BEEF
2245,2245,Puro
2246,2246,PURPLE CACTUS
2247,2247,PUSHCART CAFE
2248,2248,Qdoba Mexican Eats
2249,2249,Qdoba Mexican Eats No. 2207
2250,2250,Qdoba Mexican Eats No. 2592
2251,2251,QUALITY EATS
2252,2252,Quality Liquors
2253,2253,QUATTRO RISTORANTE  GRILL & PIZZERIA
2254,2254,Que Arepa En Tertulias Cafe
2255,2255,Quebrada Baking Company
2256,2256,Quick Pick Convenience
2257,2257,Quick Stop
2258,2258,Quincy Market
2259,2259,Quincy's Place
2260,2260,R & R Food Market
2261,2261,RABIA'S RESTAURANT
2262,2262,Rail Stop
2263,2263,Raising Cane's
2264,2264,RAMADA INN
2265,2265,Ramzo African Market
2266,2266,Raphael Caribbean Cuisine
2267,2267,Rapid 7
2268,2268,RAW BAR-WALRUS & CARPENTER
2269,2269,Ray & Joan Krok Community Center
2270,2270,Rebecca's Cafe @ Reggie Lewis
2271,2271,Rebecca's Cafe Inc.
2272,2272,Rebel's Guild
2273,2273,Recreo Coffee
2274,2274,Red Hat Cafe
2275,2275,Red Lantern
2276,2276,Red Line Pizza and Grill
2277,2277,Red Mango @ Boston Childrens
2278,2278,Red Moon Restuarant
2279,2279,Red White
2280,2280,Redbones Barbecue Food Truck
2281,2281,Reebok Crossfit Back Bay
2282,2282,Reelhouse Restaurant
2283,2283,Regal
2284,2284,Regina Pizza of Allston
2285,2285,Regina Pizzeria at Fenway
2286,2286,Regina's (up)
2287,2287,Remy's
2288,2288,Renaissance Hotel (Club Lounge)
2289,2289,Renaissance Hotel (Employee Cafe)
2290,2290,Renaissance Hotel (Lobby Lounge)
2291,2291,Renaissance Hotel (Main Kitchen)
2292,2292,Renaissance Hotel (Starbucks)
2293,2293,Render Coffee
2294,2294,Render Coffee @ 121
2295,2295,Renegades Pub
2296,2296,Repent African International Store
2297,2297,RESERVOIR WINE & SPIRTS
2298,2298,Residence Inn
2299,2299,Residence Inn by Marriott (RF)
2300,2300,RESIDENCE INN BY MARRIOTT BOS
2301,2301,Residence Inn Fenway - Boston
2302,2302,Residence Inn Fenway-Boston
2303,2303,Residence Inn L
2304,2304,Restaurant Associates @ Amazon
2305,2305,Restaurant Laura
2306,2306,RESTAURANT MONTECRISTO
2307,2307,Restaurant Y Cafeteria Los Nietos
2308,2308,Restaurante Cesaria
2309,2309,REV Bar LL
2310,2310,Rev Cafe
2311,2311,Revelry
2312,2312,Revival
2313,2313,Revolution Health Kitchen
2314,2314,Rey Del Pollo
2315,2315,Rhetts West
2316,2316,RHYTHM 'N WRAPS
2317,2317,Ria Cafe
2318,2318,RICCARDO'S RISTORANTE
2319,2319,Rice Burg Inc.
2320,2320,Richdale Food Shops 110/City Conveince
2321,2321,Richy's
2322,2322,Right Field Inseat
2323,2323,Right Field Pantry
2324,2324,Rigoletto
2325,2325,Rina's
2326,2326,RINCON LIMENO
2327,2327,Rinconcito Salvadoreno
2328,2328,RINO'S PIZZA
2329,2329,RINO'S PLACE
2330,2330,Ripple Cafe
2331,2331,RISTORANTE EUNO
2332,2332,RISTORANTE FIORE
2333,2333,Ristorante Toscano Inc.
2334,2334,Rite Aid No. 10151
2335,2335,Rite Aid No. 10157
2336,2336,RITZ-CARLTON BOSTON COMMON
2337,2337,River Grille Restaurant & Cafe Inc.
2338,2338,River St. Mini Mart
2339,2339,RIVER STREET GRILL
2340,2340,RIVERSIDE CAFE-LEV1
2341,2341,RIZZO'S PIZZA
2342,2342,Roast Beast of Boston
2343,2343,Rocco's Cucina & Bar
2344,2344,RoChambeau
2345,2345,Roche Brothers Supermarket
2346,2346,ROCK BOTTOM REST. & BREWERY
2347,2347,Rock City Pizza
2348,2348,Rod Thai Family Taste
2349,2349,Rodey Pizza & Pasta
2350,2350,Roger's Services
2351,2351,Rome Pizza
2352,2352,Rompe Dieta Restaurant
2353,2353,Rondo's Sub Shop
2354,2354,Rooftop @ Revere Hotel
2355,2355,Ropes & Gray L L P
2356,2356,Rosa Mexicano
2357,2357,Rosario Grocery
2358,2358,Rosa's Variety
2359,2359,Roseley Market
2360,2360,Roslindale Fish Market
2361,2361,ROSLINDALE HOUSE OF PIZZA
2362,2362,Rosticeria Cancun
2363,2363,Round Two
2364,2364,Row 34
2365,2365,Rox Diner
2366,2366,Rox. Comm. College Bookstore
2367,2367,Roxbury Mini Market
2368,2368,Roxy's Gourmet Grilled Cheese No. 1
2369,2369,Roxy's Gourmet Grilled Cheese No. 2
2370,2370,Roxys Grilled Cheese
2371,2371,Royal African Caribbean Supermarket
2372,2372,ROYAL ROAST BEEF & SEAFOOD
2373,2373,Royal Rooters
2374,2374,Royal Tea
