FoodEstabKey,EstablishmentKey,businessname
200,200,B.U.Dining Srvices-1st fl.
201,201,B.U.Dining Srvices-2nd fl.
202,202,Babbo Pizzeria
203,203,Baby Nats Fruitland
204,204,Baby's Bonetown BBQ
205,205,BACCO RISTORANTE & BAR
206,206,BACCO'S WINE & CHEESE
207,207,Back Bay Sandwich
208,208,Back Bay Social Club
209,209,Back Deck
210,210,BackBay Wine & Spirits
211,211,Backlash Taproom
212,212,Backstage Hardware
213,213,BACKWOODS PIZZA
214,214,Backyard Betty's
215,215,Bailey & Sage
216,216,Bain Capital (40th Fl)
217,217,Baja Taco Truck
218,218,Balance Patch
219,219,BALE RESTAURANT
220,220,BALTIC DELI
221,221,Bamboo Thai Restaurant
222,222,Bambu
223,223,Ban Toi Restaurant
224,224,Bangkok Pinto
225,225,Bani Restaurant
226,226,Banyan Bar & Refuge
227,227,Bar A Vin 1855
228,228,Bar Louie
229,229,Bar Lyon
230,230,Bar Medallo
231,231,Bar Mercato
232,232,Bar Mezzana
233,233,Barcelona Restaurant
234,234,Barlows Restaurant
235,235,BARNES & NOBLE BOOKSELLERS (R)
236,236,BARNEY'S GRILL
237,237,Barracuda Tavern
238,238,Barrington Coffee
239,239,BARRY'S BOOTCAMP
240,240,Bartaco
241,241,Bartleby's Seitan Stand
242,242,Basho Express
243,243,Basho Japanese Brasserie
244,244,Basho Japanese Sushi@B.U.(G.S.U.)
245,245,Basile- Fine Italian Kitchen
246,246,Bastille Kitchen
247,247,Battery Park Restaurant & Lounge
248,248,BATTERY WHARF HOTEL BOSTON WATERFRONT
249,249,Bay Sweets
250,250,BAZAAR ON CAMBRIDGE ST.
251,251,BBQ Chicken
252,252,Beacon Cafe @Univ. of Mass Boston
253,253,Beacon Capital Market
254,254,Bean & Leaf Cafe
255,255,Bean Towne Coffee House
256,256,BEANTOWN BURRITO
257,257,Beantown Pastrami
258,258,Beantown Pho & Grill
259,259,Beantown Pub
260,260,Beard Papa's and Chatime
261,261,Beard's Papa
262,262,Beijing Cafe
263,263,Bell In Hand
264,264,Bella Luna Restaurant @ the Brewery
265,265,Bella Vista
266,266,Ben & Jerry's
267,267,Ben & Jerry's (Kiosk)
268,268,Ben Cotto
269,269,Benevento's
