ID,businessname,legalowner,LicenseFK
136,ANTICO FORNO,,136
137,Antoinette Variety Store,  ,137
138,Antonios Bacaro,STANTON MARY J TS,138
139,Antonio's Hi-Fi,SHERMAN ROBERT S,139
140,ANTONIO'S ITALIANO CUCINA,BINA BABAK TS,140
141,Appleton Farms (TTOR),,141
142,Aqua Pazza,,142
143,AQUITAINE,AQUITAINE SETH WOODS,143
144,ARAMARK @ SULLIVAN & WORCESTER,FLIK INTERNATIONAL CORP.,144
145,Arboretum Grill,FOTOPOULOS STAVROULA,145
146,ARCHIE'S NEW YORK DELI,  ,146
147,Area 4 Restaurant,,147
148,Ariana Restaurant,,148
149,ARIS BARBEQUE,LESLEY,149
150,Arizona B B Q,DIPASQUALE ALFRED P,150
151,Article 24,HOEY CONOR J,151
152,ARTU,,152
153,Arya Trattoria,DESTEFANO ANTONIETTA TRSTS,153
154,ASAKI,,154
155,Ashburton Cafe,COMMONWEALTH OF MASS,155
156,ASHMONT GRILL,ASHMONT GRILL  LLC,156
157,Asia Wok,,157
158,ASIAN GARDEN RESTAURANT INC.,KA WA FONG /HO LING FONG,158
159,Asian House,  ,159
160,Asian Thai Eatery,,160
161,Assaggio,,161
162,Assembly on 2,ONE HUNDRED SUMMER STREET,162
163,Asta,,163
164,At Union,KATSARIKAS,164
165,Athan's European Bakery,,165
166,ATLANTIC FISH COMPANY,BOYLSTON AND GLOUCESTER LLC,166
167,ATRIUM CAFE/HARVARD MED.SCHOOL,RESTAURANT ASSOCIATES,167
168,Au Bon Pain,AU BON PAIN CO  INC. #9 (LAURA),168
169,Au Bon Pain (Cambridge St.),,169
170,Au Bon Pain Store 511,AU BON PAIN  CO.  INC.,170
171,Au Bon Pain Store No.  41,,171
172,Au Bon Pain Store No.  44,AU BON PAIN  CO.  INC. (LAURA),172
173,Audubon,HERMAN THOMAS D,173
174,AUNTIE ANNE'S (No. MA 110),PAPA GINO'S/D'ANGELO,174
175,Auntie Anne's (Trmnl A  Gate A 18),,175
176,AUNTIE VIE'S BAKERY & CAFE,  ,176
177,Avana Express Bar,  ,177
178,Avana Market Place,BEACH STREET MANAGEMENT INC,178
179,Avana Sushi II,,179
180,Azama Grill,SANDER MARCEL,180
181,B & G OYSTERS LTD.,FAEM PROPERTIES XI LLC,181
182,B C High School (Faculty Food Serv.),MURPHY,182
183,B Good,,183
184,B Good Burger,  ,184
185,B I DEACONESS/WEST END CAFE,SODEXHO MANAGEMENT INC.,185
186,B U-100 Baystate Dining Cafe/Multi Purpose,,186
187,B. Good,,187
188,B. Good Burger,,188
189,B. U. Einsteins Bagels,ARAMARK CORPORATION,189
190,B.H.C.C. Coffee Shop,,190
191,B.U. George Sherman Union,ARA SERVICES,191
192,B.U. HARRY AGGANIS ARENA(FS),H.A. SPORTSERVICE  LLC,192
193,B.U. HARRY AGGANIS ARENA/STANDS,H.A. SPORTSERVICE  LLC,193
194,B.U. HEALTHY BLENDS,TRUSTEES OF BOSTON,194
195,B.U. PUB,ARA SERVICES,195
196,B.U. SCHOOL OF LAW CART,ARA SERVICES/ATTN.,196
197,B.U. SCHOOL OF MANAGEMENT,,197
198,B.U. WARREN TOWER CAFE,SAIOCOLO,198
199,B.U. WEST CAMPUS,BONZ RICHARD E,199
200,B.U.Dining Srvices-1st fl.,,200
201,B.U.Dining Srvices-2nd fl.,,201
202,Babbo Pizzeria,,202
203,Baby Nats Fruitland,NATORETTI,203
204,Baby's Bonetown BBQ,,204
205,BACCO RISTORANTE & BAR,BUBEN PATRICK,205
206,BACCO'S WINE & CHEESE,  ,206
207,Back Bay Sandwich,  ,207
208,Back Bay Social Club,DHANDA 867 BOYLSTON ST LPS,208
209,Back Deck,  ,209
210,BackBay Wine & Spirits,FOUR 41 STUART ST ASSOC LLC,210
211,Backlash Taproom,GIUGLIANO SALVATORE TS,211
212,Backstage Hardware,  ,212
213,BACKWOODS PIZZA,,213
214,Backyard Betty's,,214
215,Bailey & Sage,BBS REAL ESTATE GROUP LLC,215
216,Bain Capital (40th Fl),ONE HUNDRED & 200 CLARENDON,216
217,Baja Taco Truck,,217
218,Balance Patch,,218
219,BALE RESTAURANT,NGUYEN JENNIFER,219
220,BALTIC DELI,BARCIKOWSKI TADEUSZ,220
221,Bamboo Thai Restaurant,,221
222,Bambu,,222
223,Ban Toi Restaurant,,223
224,Bangkok Pinto,,224
225,Bani Restaurant,PANAGOS GEORGE TS,225
226,Banyan Bar & Refuge,  ,226
227,Bar A Vin 1855,  ,227
228,Bar Louie,SCALES JOHN T TRST,228
229,Bar Lyon,,229
230,Bar Medallo,ISABELLA DOMINIC F,230
231,Bar Mercato,  ,231
232,Bar Mezzana,,232
233,Barcelona Restaurant,  ,233
234,Barlows Restaurant,,234
235,BARNES & NOBLE BOOKSELLERS (R),GILLETTE CAFETERIA EDWARD C. COLEMAN,235
236,BARNEY'S GRILL,,236
237,Barracuda Tavern,BROMFIELD REALTY LLC,237
238,Barrington Coffee,,238
239,BARRY'S BOOTCAMP,,239
240,Bartaco,,240
241,Bartleby's Seitan Stand,,241
242,Basho Express,,242
243,Basho Japanese Brasserie,,243
244,Basho Japanese Sushi@B.U.(G.S.U.),ARA SERVICES /DAVID WEIR,244
245,Basile- Fine Italian Kitchen,,245
246,Bastille Kitchen,BOSTON WHARF CO GP,246
247,Battery Park Restaurant & Lounge,,247
248,BATTERY WHARF HOTEL BOSTON WATERFRONT,  ,248
249,Bay Sweets,SPRING ST PROPERTIES LLC,249
250,BAZAAR ON CAMBRIDGE ST.,ELEVATOR CONSTRUCTORS,250
251,BBQ Chicken,,251
252,Beacon Cafe @Univ. of Mass Boston,FOLLETT COLLEGE STORES #530,252
253,Beacon Capital Market,GETZLER EZRA,253
254,Bean & Leaf Cafe,,254
255,Bean Towne Coffee House,,255
256,BEANTOWN BURRITO,WATERMARK DONUT COMPANY,256
257,Beantown Pastrami,,257
258,Beantown Pho & Grill,BILL FRANKLIN G TRSTS,258
259,Beantown Pub,COLUCCI JOSEPH,259
260,Beard Papa's and Chatime,SANIEOFF KHOSRO,260
261,Beard's Papa,  ,261
262,Beijing Cafe,,262
263,Bell In Hand,FIFTY FIVE UNION LLC,263
264,Bella Luna Restaurant @ the Brewery,OMAR ARGOTE/AHMAD KHERRI DENE,264
265,Bella Vista,PEZZANO FRANK ETAL,265
266,Ben & Jerry's,,266
267,Ben & Jerry's (Kiosk),GILLETTE CAFETERIA EDWARD C. COLEMAN,267
268,Ben Cotto,SICILINO JANICE TS,268
269,Benevento's,TOPWALK LLC,269
270,Bennetts Sandwich Shop,GOMBERG WARREN I TS,270
271,Bep Bui,,271
272,Berezka International Food Store,MIKHAIL ZAYTSEV  PRES.,272
273,BERKELEY PERK CAFE,TSE JORDAN,273
274,Berklee College of Music,,274
275,Berkshire Farms Market,,275
276,Berkshire Farms Market A,,276
277,BERTUCCI'S,BRUEGGER'S ENTERPRISES  I,277
278,BEST BARBECUE KITCHEN,,278
279,Best of Boston Inc.,MAKHOUL MAKHOUL TS,279
280,Best Western Plus Roundhouse Suites,,280
281,Beth Israel Deaconess,BETH ISRAEL DEACONESS,281
282,Better Bagels,,282
283,BFresh,AKBARIAN MOHAMMED TRST,283
284,B-Good,,284
285,Bibim Box,,285
286,Biddy Earlys,MOYLAN JOHN T,286
287,BIG DADDY HOT DOGS,MASS. GENERAL HOSPITAL  (SS/INDOOR),287
288,BIG DADDY'S PIZZA,STEVEN WEINSTEIN,288
289,Bijou Night Club,,289
290,Billares Colombia,SITT EDDIE TRSTS,290
291,Bill's Bar,NEW ROULET LIMITED PARTNERSH,291
292,BILLY TSE RESTAURANT,COMMBOS LP,292
293,Billy's Sub Shop,CHIN SHEW PING ETAL,293
294,BILLY'S TEXAS B.B.Q.,FIVE30 WASHINGTON ST LLC,294
295,Bin 26 Enoteca,DELUTY EVAN,295
296,BIRCH STREET BISTRO,GREELEY THOMAS J AKA JR,296
297,BISHOP'S MEDITERRANEAN,,297
298,Bisq Meat & Sandwiches,,298
299,Bistro du Midi,,299
300,BK's Pub,KEITH ROBERT,300
301,Black Bag Mini Mart,,301
302,Black Jack Pasta Kitchen,BLACKER JOHN J,302
303,Black Lamb,,303
304,Black Rose,ONE 60 STATE ASSOC MASS LPS,304
305,Black Seeds,,305
306,Blackbird,,306
307,Blackbird Donuts,,307
308,Blackbird Doughnuts & Sally's Sandwiches,LUCY ZELANDI EXECUTIVE DI RECTOR,308
309,Blackmoor Bar & Kitchen,  ,309
310,BLACKSTONE GRILL,,310
311,Blake's Boston,,311
312,Blanchard Liquors,COREY DONALD J,312
313,Blanchards,COREY,313
314,Blanco Market,PENA RAMON S,314
315,Blanquita's Market,,315
316,BLASI'S CAFE,BLASI JOSEPH P TS,316
317,Blaze Fast Fired Pizza,,317
318,Blaze Pizza,,318
319,Bleacher Bar,JACK LYONS  MANAGER,319
320,Blend,LIMERICK CO INC,320
321,Blessing God African/Amer Mkt,SHOLA OSIME(OWNER),321
322,Blu,,322
323,Blue Asia Cafe,AND DEVELOPMENT LLC,323
324,Blue Bottle Coffee,GILLETTE CAFETERIA EDWARD C. COLEMAN,324
325,Blue Cross Blue Sheild of Ma. Cafe,,325
326,Blue Dragon,BOSTON WHARF CO GPS,326
327,Blue Hill Cafe,,327
328,Blue Hill Market,  ,328
329,Blue Mountain Jamaican Restaurant,JOSEPH MARIE M,329
330,Blue Nile,,330
331,BLUE STAR RESTAURANT,NORE JANET F,331
332,Blue State Coffee,  ,332
333,Blue State Coffee@957 Comm. Ave. Boston,J & M REALTY INC MASS CORP,333
334,Blunch,THOMAS GREEN/DAVID SHALVOY,334
335,BM CART1:BON ME YELLOW CART,,335
336,BM CART2: BON ME BLUE CART,,336
337,BM1: BON ME YELLOW,L.A. WEIGHT LOSS CENTERS  INC.,337
338,BM2:BON ME DARK BLUE,,338
339,BM3:BON ME RED,,339
340,BM4: BON ME ORANGE,,340
341,BM5: BON ME GREEN,,341
342,BM6: BON ME LILAC,,342
343,BM7: BON ME PURPLE,,343
344,BM8: BON ME LIGHT BLUE,,344
345,BMS Paper,ROBERT G. HARRINGTON  PRES.,345
346,BNC Market,,346
347,BO9/CO9/Y7,JACK LYONS  MANAGER,347
348,Boba Me,,348
349,Bob's Grocery,DEGRUTTOLA ROBERT A,349
350,BOB'S PITA MARKET.,HARL REALTY CO,350
351,Bocao Restaurant & Grill,,351
352,Bodega Canal,,352
353,Bohemios Restaurant,CARLOS LOPEZ/JOHNY CARD ONA,353
354,Boloco - Berklee,BOYLSTON 1078 LIM PTR,354
355,Boloco Inspired Burritos,MOSKOW MICHAEL B,355
356,Boloco-Atlantic Wharf,,356
357,Bon Appetit Creperie,,357
358,BON APPETIT RESTAURANT,BEAUSEJOUR,358
359,Bon Me,,359
360,Bon Me Restaurant,NEW CONGRESS ASSOCIATES LLC,360
361,Bonapita,,361
362,Bonchon Allston,AND DEVELOPMENT LLC,362
363,Bonne Chance Cafe,,363
364,Boom Crispy Chicken,YEE KENNETH M,364
365,Bootleg Special,,365
366,Borinquen Bakery & Cafe,,366
367,Bos Burger,,367
368,BOSTON & MAINE FISH CO.,,368
369,BOSTON BACK BAY HILTON,HILTON SYSTEMS INC,369
370,Boston Bagel Company,  ,370
371,Boston Bazar,,371
372,Boston Beer Works,,372
373,Boston Beer Works (Pier B),,373
374,Boston Beer Works (Pier C),,374
375,Boston Bowl,STRAZZULA,375
376,Boston Burger Company,,376
377,Boston Celtics Practice Facility Dining,,377
378,Boston Cheese Cellar,,378
379,BOSTON CHILDRENS POP UP TRUCK,CHILDRENS HOSPITAL CORP THE,379
380,Boston Chops,,380
381,Boston City Hostel,AMERICAN YOUTH HOSTELS INC,381
382,BOSTON COLLEGE CLUB,ONE HUNDRED FEDERAL ST LPS,382
383,BOSTON COLLEGE WALSH HALL,TRUSTEES OF BOSTON COLLEGE,383
