ID,businessname,legalowner,LicenseFK
2290,Renaissance Hotel (Lobby Lounge),MASS PORT AUTHORITY,2290
2291,Renaissance Hotel (Main Kitchen),MASS PORT AUTHORITY,2291
2292,Renaissance Hotel (Starbucks),MASS PORT AUTHORITY,2292
2293,Render Coffee,FAYE FOROUGHI  PRES.,2293
2294,Render Coffee @ 121,TGC 50 MILK STREET LLC,2294
2295,Renegades Pub,,2295
2296,Repent African International Store,,2296
2297,RESERVOIR WINE & SPIRTS,POLLEY REAL ESTATE MTG LLC,2297
2298,Residence Inn,,2298
2299,Residence Inn by Marriott (RF),,2299
2300,RESIDENCE INN BY MARRIOTT BOS,RESIDENCE INN BY MARRIOT,2300
2301,Residence Inn Fenway - Boston,  ,2301
2302,Residence Inn Fenway-Boston,  ,2302
2303,Residence Inn L,,2303
2304,Restaurant Associates @ Amazon,BOSTON HSR SOUTH BOSTON LLC,2304
2305,Restaurant Laura,LAURA A. CORREIA,2305
2306,RESTAURANT MONTECRISTO,RAUL D. ALARCON,2306
2307,Restaurant Y Cafeteria Los Nietos,SPORTSMEN'S TENNIS CLUB,2307
2308,Restaurante Cesaria,CONROY JAMES P TS,2308
2309,REV Bar LL,BOSTON YOUNG WOMENS,2309
2310,Rev Cafe,BOSTON YOUNG WOMENS,2310
2311,Revelry,,2311
2312,Revival,FLIK INTERNATIONAL CORP.,2312
2313,Revolution Health Kitchen,,2313
2314,Rey Del Pollo,GLOTH HY TS,2314
2315,Rhetts West,,2315
2316,RHYTHM 'N WRAPS,,2316
2317,Ria Cafe,VRATTOS SOCRATES TS,2317
2318,RICCARDO'S RISTORANTE,TRAAGLIONE RICHARD M TS,2318
2319,Rice Burg Inc.,,2319
2320,Richdale Food Shops 110/City Conveince,  ,2320
2321,Richy's,FERZOCO ALEXANDER,2321
2322,Right Field Inseat,JACK LYONS  MANAGER,2322
2323,Right Field Pantry,JACK LYONS  MANAGER,2323
2324,Rigoletto,ONE15 SALEM ST CONDO TR,2324
2325,Rina's,DIPPOLITO MARIA,2325
2326,RINCON LIMENO,GIRALDO ALFONZO A,2326
2327,Rinconcito Salvadoreno,SACRAMONE DEAN,2327
2328,RINO'S PIZZA,KERKYRA INC.,2328
2329,RINO'S PLACE,DI CENSO RINO,2329
2330,Ripple Cafe,,2330
2331,RISTORANTE EUNO,REGNETTA LEIZE,2331
2332,RISTORANTE FIORE,FRANCESCO BROGNA/FIORE CO LELLA,2332
2333,Ristorante Toscano Inc.,MARKS ROBERT A,2333
2334,Rite Aid No. 10151,MAXI DRUGS  INC./BROOKS LIC. DEPT.,2334
2335,Rite Aid No. 10157,,2335
2336,RITZ-CARLTON BOSTON COMMON,MPE HOTEL I BOSTON COMMONS,2336
2337,River Grille Restaurant & Cafe Inc.,PEDRO A. SANTANA RIVER STREET GRILL,2337
2338,River St. Mini Mart,LOPEZ YAMILETH,2338
2339,RIVER STREET GRILL,TSOLIRIDES GEORGE TS,2339
2340,RIVERSIDE CAFE-LEV1,,2340
2341,RIZZO'S PIZZA,DAMM HUGO,2341
2342,Roast Beast of Boston,,2342
2343,Rocco's Cucina & Bar,ZAGARELLA ANTONETTA,2343
2344,RoChambeau,MASSACHUSETTS CONVENTION,2344
2345,Roche Brothers Supermarket,,2345
2346,ROCK BOTTOM REST. & BREWERY,,2346
2347,Rock City Pizza,,2347
2348,Rod Thai Family Taste,HUANG FRANKIE S.,2348
2349,Rodey Pizza & Pasta,ALHADDAD ADEL TS,2349
2350,Roger's Services,,2350
2351,Rome Pizza,,2351
2352,Rompe Dieta Restaurant,SILVERMAN DAVID,2352
2353,Rondo's Sub Shop,KOUFOS EVANGELOS,2353
2354,Rooftop @ Revere Hotel,JPA 1 MANAGEMENT COMPANY INC.,2354
2355,Ropes & Gray L L P,,2355
2356,Rosa Mexicano,  ,2356
2357,Rosario Grocery,,2357
2358,Rosa's Variety,,2358
2359,Roseley Market,,2359
2360,Roslindale Fish Market,BREGIANOS PETER TS,2360
2361,ROSLINDALE HOUSE OF PIZZA,,2361
2362,Rosticeria Cancun,BETANCOURT LEONEL,2362
2363,Round Two,,2363
2364,Row 34,CFS SEAPORT LLC,2364
2365,Rox Diner,,2365
2366,Rox. Comm. College Bookstore,FREEMAN  JR./Roxbury Community College,2366
2367,Roxbury Mini Market,,2367
2368,Roxy's Gourmet Grilled Cheese No. 1,,2368
2369,Roxy's Gourmet Grilled Cheese No. 2,,2369
2370,Roxys Grilled Cheese,,2370
2371,Royal African Caribbean Supermarket,,2371
2372,ROYAL ROAST BEEF & SEAFOOD,BELESIS PETER TS,2372
2373,Royal Rooters,,2373
2374,Royal Tea,GEE HOW OAK TIN ASSOC,2374
2375,Royale,BOSTON BALLROOM CORP LOU DELIPIDIO,2375
2376,Royce Chocolate,BAKAS IRENE G,2376
2377,Roza Lyons,,2377
2378,RUBY ROOM,LASALLE HOTEL PROPERTIES /ONYX HOTEL,2378
2379,RUCKUS NOODLES,  ,2379
2380,Ruka Restobar Nikkei,,2380
2381,Rustica House of Pizza,DRITAN HYSI  PRESIDENT,2381
2382,Rusty's Liquors,KIM BYUNG C TS,2382
2383,Ruth Mulan Chu Chao Center,  ,2383
2384,Ruth's Chris Steak House,BOSTON REDEVELOPMENT AUTH,2384
2385,S & I TO GO,DOANGPRATHEEP SAENSUKH,2385
2386,Sa Pa,FORTY THREE KINGSTON ST,2386
2387,SA PA Food Truck,,2387
2388,Sabor do Brasil,,2388
2389,Safari African Restaurant,,2389
2390,Saigon Chicken House,,2390
2391,Saigon Fusion,,2391
2392,Saigon One Restaurant,NGUYEN,2392
2393,Saint John's Seminary Bishop Peterson Hall,,2393
2394,Sakanaya Boston,  ,2394
2395,Sakura Japan,CVS.LIC. DEPT./T.FLUETTE,2395
2396,SAKURAABANA INC,,2396
2397,Saloniki,WABAN-132 LLC,2397
2398,Sals Lunch,ARENIELLO LUIGI ETAL,2398
2399,SAL'S PIZZA,,2399
2400,Sal's Pizza/Bakery,,2400
2401,SALSAS MEXICAN GRILL,  ,2401
2402,Saltie Girl,,2402
2403,Salty Pig,SHERRY BERGER FIREFLY AN AMERICAN BISTR,2403
2404,Salty's,,2404
2405,SALUMERIA ITALIANA,MARTIGNETTI WANDA M,2405
2406,Salvatore's,,2406
2407,Sam Adams Deck/RF ROOF,JACK LYONS  MANAGER,2407
2408,Sama x Edena,G S PARTNERS,2408
2409,SAME OLD PLACE INC.,CIAMPA FREDRICK,2409
2410,Sammy Carlo's Delicatessen & Catering Inc.,SCIRE STEPHEN,2410
2411,Sammys On Third/GEB,,2411
2412,Samuel Adams Boston Brewery,  ,2412
2413,Samurai Express,  ,2413
2414,San Fransisco De Asis Market,DINUSH JOSEPH,2414
2415,San Miguel Arcangel Market,,2415
2416,Sanchez Market,  ,2416
2417,Sandra's Market,LEANDRO CELADO,2417
2418,Sandy's Market,,2418
2419,SANDY'S VARIETY,,2419
2420,Santander Bank Coffee Bar,,2420
2421,Santarpio's Cafe Inc.,,2421
2422,Santo Domingo Restaurant,,2422
2423,Santouka,ENGEL LUCY,2423
2424,Sapient Corp. Aramark Coffee Bar,ONE-31 DARTMOUTH STREET LLC,2424
2425,Sarafina,,2425
2426,Saratoga Convenience,CAVALIERE FRANCIS R GP,2426
2427,Saturday Afternoon/Ramrod,,2427
2428,Saus Boston,DE NORMANDIE PHILIP Y,2428
2429,Save-A-Lot,SLAWSBY,2429
2430,Savenor's Market,,2430
2431,Savin Bar And Kitchen,DONOVAN ARTHUR J TS,2431
2432,Savory Food Truck No.  3 (P-33-235),  ,2432
2433,Savory Truck,BOSTON HOSPITAL FOR WOMEN,2433
2434,Savvor Restaurant & Lounge,CRAWFORD BUILDING LPS,2434
2435,Say Pao De Queijo,,2435
2436,SBARRO RESTAURANT TRMNL E,NORTHWEST AIRLINES/TAX DE PT. A4450,2436
2437,Scali Deli Cafe,,2437
2438,Scampo,MASSACHUSETTS GENERAL HOSP,2438
2439,Scholars Restaurant,FLATLEY THOMAS J,2439
2440,Schraffts Center Cafe,FLATLEY JOHN J TS,2440
2441,Scopa,,2441
2442,Scorpion Bar Seaport Square,,2442
2443,SEAPOINT RESTAURANT,COLEMAN MANNION  PRES. BAYSIDE CLUB,2443
2444,SEAPORT ELITE I I,,2444
2445,Seaport Hotel,MASS PORT AUTHORITY,2445
2446,Seaport Wine & Spirit,,2446
2447,Second Cup Coffee Co.,,2447
2448,Seiyo,,2448
2449,Select Oyster Bar,DERGARABEDIAN RICHARD TS,2449
2450,Seoul Soulongtang,COMMONWEALTH 1227-1245 LPS,2450
2451,Seoul Tteokbokki,  ,2451
2452,Serafina Boston,,2452
2453,Seven's Ale House,KILEY JOHN D TRST,2453
2454,Shabu Maru,,2454
2455,Shabu-Zen,  ,2455
2456,Shake Shack,,2456
2457,Shaking Crab,VENTOURIS EMILIOS TS,2457
2458,Shaking Seafood,,2458
2459,SHALOH HOUSE,SHALOH HOUSE,2459
2460,SHANGHAI GATEWAY RESTAURANT,MENG,2460
2461,Shannon's Tavern Inc,BOWEN JOHN J,2461
2462,Shanti Boston,  ,2462
2463,Shawarma Falafel,,2463
2464,Shaw's Supermarket No. 3577,BOSTON CITY PROPERTIES II,2464
2465,Shaw's Supermarket No. 604,TRINITY NEPONSET LLC,2465
2466,Shaw's Supermarkets No. 1208,SHAW'S SUPERMARKET INC. #7508/388,2466
2467,Shaw's Supermarkets No. 2579,SHAW'S SUPERMARKETS  INC.,2467
2468,Shaw's Supermarkets No. 602,BP SUPERMARKET LLC,2468
2469,SHEA'S TAVERN,JAMES & ROBERT CARNEY SHEA'S TAVERN,2469
2470,Shed BBQ,,2470
2471,Sheesha Lounge,,2471
2472,SHENANAGANS BAR,,2472
2473,SHERATON BOSTON (APROPOS/R.S./CAFE),SHERATON BOSTON CORP,2473
2474,SHERATON BOSTON (SIDE BAR),SHERATON BOSTON CORP,2474
2475,Shin Hakata Ramen,,2475
2476,Shing Hong Trading  Inc.,LAU WAI KUENG TS,2476
2477,Shippy Liquor and Wines,,2477
2478,Shishkaberrys,,2478
2479,Shojo,,2479
2480,Shojo (Space No. CB2-A11/35),,2480
2481,Shore Leave,GRAYBAR ELECTRIC CO INC,2481
2482,Shour Yi Hong Corp.,,2482
2483,Showa Womens Institution,SHOWA BOSTON INSTITUTE,2483
2484,Showplace Icon,,2484
2485,SHRINERS' HOSP. FOR CHILDREN,SHRINERS HOSPITAL,2485
2486,Shubert Theater Centerplate,  ,2486
2487,Shuck Truck LLC,,2487
2488,Shun's Kitchen,OBRIEN PATRICK J TS,2488
2489,Siam Bistro,  ,2489
2490,Side Bar Food & Spirits,,2490
2491,SIDEWALK CAFE,,2491
2492,SID'S SMOKE SHOP,,2492
2493,Siena Farms South End,CARABITSON ANNA DARTLEY,2493
2494,Silhouette Lounge Inc,ELISEO,2494
2495,Silk Road Express,,2495
2496,Silver Slipper,,2496
2497,Silvio O. Conte Forum East Roof 2A,  ,2497
2498,Silvio O. Conte Forum East Roof 2B,  ,2498
2499,Silvio O. Conte Forum East Roof 2C,  ,2499
2500,Silvio O. Conte Forum East Roof 2D,  ,2500
2501,Silvio O. Conte Forum East Roof 3A,  ,2501
2502,Silvio O. Conte Forum East Roof 3B,  ,2502
2503,Silvio O. Conte Forum Yawkey 4th Fl.,  ,2503
2504,SIMCO'S INC.,RUSSO SALVATORE G,2504
2505,SIMCO'S RESTAURANT,NICK & DENISE FOTOPOULOS,2505
2506,Simmons College-Bartol,ARAMARK CORPORATION,2506
2507,Simmons College-Meyers Cafe,,2507
2508,SIMMONS COLLEGE-THE FENS,SIMMONS COLLEGE,2508
2509,Simons IMAX Theater,NEW ENGLAND AQUARIUM,2509
2510,Simple Sips,,2510
2511,Simpli Bar & Bites,,2511
2512,SINGH'S ROTI SHOP,NANDLAL BOODOOSINGH,2512
2513,SIP,FLIK INTERNATIONAL CORP.,2513
2514,Sip Wine Bar & Kitchen,MILLENNIUM PLACE PRIMARY,2514
2515,SISSY K'S,,2515
2516,Sixth Gear Cask & Kitchen,,2516
2517,Sk Convenience,,2517
2518,SKB FOOD STORE,ALLEN CORNEAL TS,2518
2519,Slate,BRIGHAM'S INC.  #713 MS. COUGHLIN,2519
2520,Slo Poke,WHOLE FOODS MARKET GROUP  INC.,2520
2521,Slush King,,2521
2522,Smith & Wollensky Atlantic Wharf,,2522
2523,Smoke Shop & Variety,,2523
2524,Smoke Shop BBQ,RNI CONGRESS STREET LLC,2524
2525,Smokey Slushes,,2525
2526,Social Register,,2526
2527,Society On High,,2527
2528,Sodexo @ Bloomberg Boston Pantry,ONE HUNDRED SUMMER STREET,2528
2529,SODEXO @ CABOT CORP.,MASS PORT AUTHORITY,2529
2530,SODEXO @ FOLEY  HOAG & ELIOT,SODEXHO OPERATIONS  LLC,2530
2531,Sodexo @ Genzyme Allston,HARVARD COLLEGE PRESIDENT &,2531
2532,Sodexo @ The Club Trmnl E,,2532
2533,Sodexo @ The Lounge Trmnl C,,2533
2534,SODEXO @ UMASS JAZZMAN,FOLLETT COLLEGE STORES,2534
2535,SODEXO @STATE ST. FINANCIAL-EX. DINING,FIRST STATES INVESTORS 228,2535
2536,Sodexo FRESHII @ BIDMC,STEVEN KRAVETZ ,2536
2537,SODEXO U MASS FACULTY CLUB,,2537
2538,SODEXO U MASS FOOD COURT,,2538
2539,SODEXO Wheelock College Dining Room 2nd Fl.,WHEELOCK COLLEGE,2539
2540,SODEXO Wheelock College Longfellow Cafe 1st Fl.,,2540
2541,SODEXO/JAZZMAN,FIRST STATES INVESTORS 228,2541
2542,Sofia Italian Steakhouse,,2542
2543,Sojuba,,2543
2544,Sol Azteca,DIVAIO HENRY J TS,2544
2545,Soleil Restaurant,,2545
2546,Solid Ground Cafe,,2546
2547,Somerset Cafe,COMMWLTH OF MASS,2547
2548,Somerset Club,SOMERSET CLUB,2548
2549,Somtum Modern Thai Cuisine,SAIFAN SAMIA,2549
2550,Sons of Boston,DE NORMANDIE PHILIP Y,2550
2551,SONSIE,,2551
2552,SOPHIA'S GROTTO,,2552
2553,Sorelle,,2553
2554,Sorelle Cafe,,2554
2555,SORELLE CITY SQUARE,,2555
2556,SORELLINA RESTAURANT,BODYSCAPES II  LLC,2556
2557,Soup Shack,,2557
2558,SOUPER BOWL,,2558
2559,SOUTH BOSTON CHINESE,SHUM DAVID,2559
2560,South Boston Market,,2560
2561,SOUTH BOSTON YACHT CLUB,BOARD OF TRUSTEES,2561
2562,South End Buttery(314 Shawmut Ave.),WELCH ROBERT C,2562
2563,South End Formaggio,GURDALIN,2563
2564,South End Pita,ALBANY SANDWICH SHOP INC,2564
2565,South of the Clouds,,2565
2566,South St. Diner,,2566
2567,SOUTHERN BAPTIST CHURCH,SOUTHERN BAPTIST CHURCH A TTN: PHAEDRA BRUTON,2567
2568,Southern Proper,,2568
2569,Spagnoulos,IAMDOLI CLOTILDE S,2569
2570,SPANGLER STUDENT CENTER,SOLDIERS FIELD PARK,2570
2571,Spangler Student Center Coffee Bar,BARNES & NOBLE BOOKSTORE/,2571
2572,Spaulding Rehabilitation Hospital,,2572
2573,Speedway No. 2430,PAGOUNIS,2573
2574,Speedway No. 2493,AMERADA HESS CORPORATION,2574
2575,SPEEDY CHEN'S CHINESE RESTAURANT,LAU BILLY KIM,2575
2576,Spicy World,CHINAGATE HOUSING ASSOCS LPS,2576
2577,SPINELLI RAVIOLI & PASTRY SHOP,SPINELLI RAVIOLI MFG CO INC,2577
2578,Spirit of Boston,,2578
2579,Sportello,CFS SEAPORT LLC,2579
2580,SPORTS CONNECTION BAR & GRILL,ANGELO A. ATTARDO  PRES.,2580
2581,Sports Grille,COLANGELO KAREN,2581
2582,SPORTSMEN'S TENNIS & ENRICHMENT CENTER,SPORTSMEN'S TENNIS CLUB,2582
2583,Spring House,,2583
2584,Spring Shabu-Shabu,HARROW CORP,2584
2585,Sprinkle's Ice Cream,,2585
2586,SPUKIES PIZZA RESTAURANT,RETZOS TED,2586
2587,Spyce,,2587
2588,SQUEALING PIG,COLE SARA TS,2588
2589,Squeeze Juice Company,  ,2589
2590,SRV,  ,2590
2591,St Botolph Club Inc,ST BOTOLPH CLUB INC MASS,2591
2592,St Peter Market,  ,2592
2593,St. Elizabeth's Medical Center,ST ELIZABETH MEDICAL CENTER,2593
2594,St. George Orthodox Church,ST>GEORGES SYRIAN ORTHODOX,2594
2595,St. Mary's Ctr. for Women & Children,,2595
2596,STALEX RESTAURANT,THEZINE THIERRY A,2596
2597,Stand 405,,2597
2598,Stand 406,,2598
2599,Stand 407,,2599
2600,Stand 408,,2600
2601,Stand 418,,2601
2602,Stand 420,,2602
2603,Stand 489,,2603
2604,Stand 707,,2604
2605,Stand 711,,2605
2606,Stand 713,,2606
2607,Stand 725,,2607
2608,Stand 727,,2608
2609,Stand 730,,2609
2610,Stand No.  722,,2610
2611,Stand No.  724,,2611
2612,Stand No. 301,,2612
2613,Stand No. 401,,2613
2614,Stand No. 403,,2614
2615,Stand No. 409,,2615
2616,Stand No. 410,,2616
2617,Stand No. 412,,2617
2618,Stand No. 414,,2618
2619,Stand No. 415,,2619
2620,Stand No. 416,,2620
2621,Stand No. 417,,2621
2622,Stand No. 419,,2622
2623,Stand No. 421,,2623
2624,Stand No. 518,,2624
2625,Stand No. 520,,2625
2626,Stand No. 521,,2626
2627,Stand No. 702,,2627
2628,Stand No. 705,,2628
2629,Stand No. 708,,2629
2630,Stand No. 709,,2630
2631,Stand No. 710,,2631
2632,Stand No. 712,,2632
2633,Stand No. 715,,2633
2634,Stand No. 717,,2634
2635,Stand No. 720,,2635
2636,Stand No. 721,,2636
2637,Stand No. 723,,2637
2638,Stand No. 728,  ,2638
2639,Stapleton Floral,,2639
2640,Star Market Company,  ,2640
2641,Star Market No. 3588,ADVANCED FRESH CONCEPTS C,2641
2642,Star Market No. 4572,BRUEGGER'S BAGEL BAKERY,2642
2643,Star Market No. 4587,BARRY,2643
2644,Star Markets No. 2576,ADVANCED FRESH CONCEPTS C ORP,2644
2645,Starbucks,SAIOCOLO,2645
2646,Starbucks - BB2-L29,,2646
2647,Starbucks Coffee,,2647
2648,Starbucks Coffee (Rowes Whart),,2648
2649,Starbucks Coffee Co.,,2649
2650,Starbucks Coffee Co. No. 7808,JER REALTY LLC,2650
2651,Starbucks Coffee Co. No. 872,SPRING PHYLLIS T,2651
2652,Starbucks Coffee Co. No. 875,ROTHENBERG HARVEY E TRSTS,2652
2653,Starbucks Coffee Company,,2653
2654,STARBUCKS COFFEE INC.,SHAMATTA PETER J,2654
2655,STARBUCKS COFFEE KIOSK,LINDA EDWARD H TRSTS,2655
2656,Starbucks Coffee No.  10599,CSTONE-BOSTON INC,2656
2657,STARBUCKS COFFEE No.  7201,,2657
2658,Starbucks Coffee No.  7224,BETH ISRAEL DEACONESS,2658
2659,Starbucks Coffee No.  7234,FIRST FENWAY COOPERATIVE INC,2659
2660,Starbucks Coffee No.  7531,S S PARTNERS LP,2660
2661,Starbucks Coffee No.  7535,FLATLEY THOMAS J,2661
2662,Starbucks Coffee No.  7544,SEVEN 55 BOYLSTON LLC,2662
2663,Starbucks Coffee No.  7564,BOYLSTON DOWNTOWN LP,2663
2664,Starbucks Coffee No.  7652,WESTBAN HOTEL VENTURE LESSEE,2664
2665,Starbucks Coffee No.  7804,CHILDRENS HOSPITAL CORP THE,2665
2666,Starbucks Coffee No.  7805,RUGGERI,2666
2667,STARBUCKS COFFEE No.  7823,PARK CENTER LLC 1,2667
2668,Starbucks Coffee No.  801,  ,2668
2669,Starbucks Coffee No.  822,  ,2669
2670,Starbucks Coffee No.  830,DRUKER RONALD M TRSTS,2670
2671,STARBUCKS COFFEE No.  864,BRUSH EDWIN F JR TRSTS,2671
2672,Starbucks Coffee No.  869,75-101 FEDERAL ST LLC,2672
2673,STARBUCKS COFFEE No.  870,MACK WILLIAM E,2673
2674,Starbucks Coffee No.  883,SIXTY3-65 COURT ST LLC,2674
2675,Starbucks Coffee No. 22253,,2675
2676,Starbucks Coffee No. 22566,  ,2676
2677,Starbucks Coffee No. 50497,,2677
2678,Starbucks Coffee No. 54759,GEORGE R. CHAPDELAINE ,2678
2679,Starbucks Coffee No. 7550,STARBUCKS COFFEE CO.,2679
2680,Starbucks Coffee No. 9463,MELINDA TAM  STORE MANAGE R,2680
2681,Starbucks Coffee(E-FC),NORTHWEST AIRLINES/TAX DE PT. A4450,2681
2682,Starbucks Coffee/Transportation Bldg.,,2682
2683,Starbucks Store 17551,  ,2683
2684,Starbucks@Boston Childrens(Sodexo),CHILDRENS HOSPITAL CORP THE,2684
2685,Stardust,,2685
2686,STASH'S PIZZA,GREGORY PAPANTONIADIS,2686
2687,STASH'S ROSLINDALE,,2687
2688,State Room,ACME-PREMIER REALTY CORP,2688
2689,STATE ST/FINANCIAL CENTER(CAFETERIA),FIRST STATES INVESTORS 228,2689
2690,State Street Express @MBTA State St. Line,CITY OF BOSTON,2690
2691,State Street Provisions,LEGAL SEA FOODS  INC.RISK /BENEFITS,2691
2692,State Street Sushi,  ,2692
2693,Station Grocery,CARLOS SANTAMARIA,2693
2694,Stats Bar & Grille,DEVLIN MICHAEL TS,2694
2695,STEFANO'S PIZZA,NIGRO MICHAEL,2695
2696,STELLA,,2696
2697,STEPHANIE'S,,2697
2698,Stephi's On Tremont,,2698
2699,Sterlings,ACME-PREMIER REALTY CORP,2699
2700,Steve & Kates Camp @ Winsor Sch.,  ,2700
2701,STEVE'S KITCHEN,BEETLES LUNCH INC.,2701
2702,Stillwater,RESHA JOSEPH JR TS,2702
2703,Stockyard,ONE-35 MARKET STREET LLC,2703
2704,Stoddard's Fine Food & Ale,TEMPLE EAGLE REALTY LLC,2704
2705,Stoked Pizza Truck,,2705
2706,Stoke's BBQ,,2706
2707,Stony Brook Wines & Spirits,FOERSTERS MARKET INC,2707
2708,Stop & Shop  No. 053,,2708
2709,Stop & Shop No. 412,  ,2709
2710,Stop & Shop No. 413,STOP & SHOP CO,2710
2711,Stop & Shop Supermarket No. 004,,2711
2712,Stop & Shop Supermarket No. 075,STOP & SHOP SUPERMARKET C O.,2712
2713,Stop & Shop/Dunkin Donuts No. 18,SMITH MARCE TS,2713
2714,Stop and Taste Pizza Grill,,2714
2715,Stop N Save Shell,,2715
2716,Storyville,COPLEY OPERATING INC,2716
2717,Strand  A Walgreens Pharmacy No. 13806,DUMOUCHEL APHOTHECARY OF WALTHAM,2717
2718,Street 55,,2718
2719,Street Food Revolution,,2719
2720,STREGA,VARANO NICK  GM,2720
2721,Strega Waterfront,,2721
2722,Strip by Strega,,2722
2723,Style Cafe,,2723
2724,Su Su Gourmet,,2724
2725,Subway & Auntie Anne's,  ,2725
2726,Subway (138 Cambridge St.),,2726
2727,SUFFOLK UNIV. SOMERSET CAFE,,2727
2728,SUFFOLK UNIVERSITY CAFE,SODEXHO OPERATIONS,2728
2729,Suffolk University Law School,,2729
2730,Sufra,,2730
2731,SUGAR BOWL,JOSEPH BAKER,2731
2732,SUISHAYA RESTAURANT,WONG AY-CHI TS,2732
2733,Sullivan's,,2733
2734,Sullivan's Pharmacy,,2734
2735,Sullivan's Tap,,2735
2736,SULLY'S PUB,SULLIVAN JOHN,2736
2737,Sulmona Meat Market,TERMINE CHARLES E TS,2737
2738,sultana's bakery & cafe,ANIL M. PATEL,2738
2739,SUN PIZZA,FERNANDEZ GERMAN,2739
2740,SUN PIZZA.,BOBBY TOUMANIDIS,2740
2741,Sunny Cafe,KIM JIN HYANG,2741
2742,Sunrise Market,BLANCHARDS INC,2742
2743,SUNRISE RESTAURANT,,2743
2744,Super Dollar,,2744
2745,Super Family Mart,SEMEDO BERNARDINO M,2745
2746,Super Ortiz Convenience,,2746
2747,Super Stop & Shop,,2747
2748,SUPER STOP & SHOP No. 459,SUPER STOP & SHOP    ATTN,2748
2749,Super Stop & Shop No. 89,TOBIN ROBERT G TS,2749
2750,Supreme Pizza,,2750
2751,SUSAN BAILIS ASSISTED LIVING,ST. BOTOLPH ASSISTED LIVI,2751
2752,SUSAN'S DELI OF COURSE,ALTAF AHMAD,2752
2753,SUSHI BY JAY,,2753
2754,Sushi By Jay @ Stop & Shop,,2754
2755,Sushi Factory,SUKRIYE AKTAS,2755
2756,Sushi Kappo,  ,2756
2757,SUSHI TIME,MCCOY RICHARD,2757
2758,Sushi Today,,2758
2759,Suya Joint,,2759
2760,Sweet & Nasty,NOVAK,2760
2761,Sweet Bubble,,2761
2762,Sweet Cheeks,,2762
2763,Sweet Cheeks/Fool's Errand,,2763
2764,Sweet Kingdom,,2764
2765,Sweet Life Bakery and Cafe,MARCEL MASSE,2765
2766,Sweet Rice,,2766
2767,Sweet Sip,,2767
2768,Sweet Street Gelato,,2768
2769,Sweet Tomatoes Pizza,,2769
2770,Sweet Waffles & Boba,WONG JANEY,2770
2771,Sweetgreen,,2771
2772,Swissbakers,,2772
2773,SYMPHONY SUSHI,SAM XUE-YUAN ZHENG SYMPHONY SUSHI,2773
2774,Syrian Grocery Import Co.  Inc.,MANSOUR MONTGOMERY A,2774
2775,T D Garden Banner Restaurant,,2775
2776,T D Garden Executive Suites Kitchen,,2776
2777,T D Garden Legends Club,,2777
2778,T D Garden Premium Club,  ,2778
2779,Taco Bell No.  29265,ABDELAHAD JOHN,2779
2780,TACO MEX,LUIS E. VASCO,2780
2781,Taco Party,,2781
2782,TACOMANIA RESTAURANT,,2782
2783,Tacos Don Beto,,2783
2784,Taiyaki NYC,,2784
2785,Taj Mahal Cuisine,,2785
2786,TALK AND WOK CAFE,,2786
2787,Tandoor & Curry on Wheels,,2787
2788,TANGIERINO,INGALLS W B  TS,2788
2789,Tapestry,TUTUNJIAN EDWARD J TS,2789
2790,Taqueria,CARNEY DANIEL W ETAL,2790
2791,TAQUERIA EL CARRIZAL,AL-ABED BELAL TS,2791
2792,TAQUERIA JALISCO,GUZMAN ROGELIO,2792
2793,TARANTA,,2793
2794,Tarboosh Pizza & Grill,  ,2794
2795,Target No. 2822,GOODYEAR TIRE & RUBBER,2795
2796,Target Store T-1898,TARGET STORE,2796
2797,Target Store T-3223,R&L PROPERTIES INC,2797
2798,Taste of Eden,,2798
2799,TASTE OF INDIA,SOLMON ALAM  LLC,2799
2800,Taste Winebar & Cafe,,2800
2801,Tasty BBQ,MCCOY RICHARD,2801
2802,Tasty Burger,,2802
2803,Tasty Burger Back Bay,MASSACHUSETTS BAY,2803
2804,Tasty Pot,,2804
2805,Tasty Thai,,2805
2806,Tatte Bakery & Cafe,,2806
2807,Tavern At End Of The World,OMALLEY PETER J TS,2807
2808,Tavern Club,TAVERN CLUB INC.,2808
2809,Tavern In The Square,MC CLURE,2809
2810,Tavern In The Square Restaurant (North Station),,2810
2811,Tavern In The Square Restaurant (So. Station),AU BON PAIN  CO.  INC.,2811
2812,TAVITAS SOUTH STATION,AU BON PAIN  CO.  INC.,2812
2813,Tavolo,,2813
2814,Tawakal Halal Cafe,GRILLO JULIO,2814
2815,Taxipool Cafeteria,,2815
2816,TB12 Performance & Recovery Center,,2816
2817,TBaar,,2817
2818,Tea Do/ Ice Age,  ,2818
2819,Tea Forte,HAMILTON JAMES A G TS,2819
2820,Tea Moji,,2820
2821,Tea Station,,2821
2822,TEATRO,KIMBERK FREDERICK,2822
2823,Telegraph Hill,COYNE JOSEPH L,2823
2824,Temazcal Cantina,,2824
2825,TEN TABLES,LEVIN MORDECHAI,2825
2826,Tender Greens,U I D C OF MASS INC,2826
2827,Tenoch Mexican,,2827
2828,Tenoch Mexican Food,,2828
2829,Teriyaki House,,2829
2830,Teri-Yummy,,2830
2831,Teri-Yummy No. 2,,2831
2832,Terra Restaurant,GILLETTE CAFETERIA EDWARD C. COLEMAN,2832
2833,Terrace Cafe,BOSTON SUPER LPS,2833
2834,TERRAMIA RISTORANTE,CACCIOLA EDWARD D,2834
