LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
199,7268,Approval of a Dress Code for Licensed Premises. LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON THE PREMISES.,2:00 AM,2:30 AM,672
200,7269,1:00 A.M. CLOSING: SUNDAY - WEDNESDAY 2:00 A.M. CLOSING: THURSDAY/FRIDAY/SATURDAY,1:00 AM,1:30 AM,311
201,7270,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l976,2:00 AM,2:30 AM,181
202,7271,1) FOOD AVAILABLE AT ALL TIMES. 2) MECHANICAL ENTERTAINMENT ONLY NO LIVE ENTERTAINMENT OR DANCING BY PATRONS. 3) OPEN ON SUNDAYS AT 11:00 A.M. FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH. PATIO CONDITIONS: 1) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.2) MUST BE STAFFED AT ALL TIMES.,2:00 AM,2:30 AM,170
203,7272,,2:00 AM,2:30 AM,179
204,7273,NONE,11:00 PM,11:30 PM,0
205,7274,NONE,2:00 AM,2:30 AM,239
206,7275,,2:00 AM,2:30 AM,240
207,7276,EXTENDED TO DAYS INN HOTEL ONLY FOR PURPOSE OF ROOM SERVICE WITHIN THE OPERATING HOURS OF THE LICENSE.,1:00 AM,1:30 AM,168
208,7277,,2:00 AM,2:30 AM,190
209,7278,SEASONAL PATIO OPERATINGHOURS ARE 11:00 AM - MIDNIGHT.,2:00 AM,2:30 AM,350
210,7279,NONE,1:00 AM,1:30 AM,177
211,7280,1. No bar.  2. Malt and Wine with Liqueurs to be served only in conjunction with meals.,11:00 PM,11:30 PM,99
212,7281,,2:00 AM,2:30 AM,99
213,7282,NONE,2:00 AM,2:30 AM,60
214,7283,Close at midnight every night. All patrons out by 12:30 AM.,MIDNIGHT,12:30 AM,76
215,7284,,2:00 AM,2:30 AM,176
216,7285,1.) BREAKFAST BEGINNING AT 6:00 A.M. 2.) ALCOHOL TO BE SERVED AFTER 11:00 A.M. MONDAY THROUGH SATURDAY. 3.) ALCOHOL TO BE SERVED AFTER 12:00 P.M. NOON ON SUNDAY. 13-PERSONS BAR STOOLS; 63-PERSONS TABLE  CHAIRS; 14-PERSONS STANDING. (REST INSIDE THE HOTEL),1:00 AM,1:30 AM,90
217,7286,NONE,MIDNIGHT,12:30 AM,118
218,7287,NONE,MIDNIGHT,12:30 AM,228
219,7288,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l974,2:00 AM,2:30 AM,252
220,7289,NONE,1:00 AM,1:30 AM,62
221,7290,NONE,1:00 AM,1:30 AM,376
222,7291,1) Alcoholicbeverages to be served only to diners or persons waiting to dine. 2) Trash to be stored inside. 3) Deliveries between 8 AM and 6 PM.,1:00 AM,1:30 AM,106
223,7292,A.) ALCOHOL WITH FOOD ONLY  B.) PATIO CLOSING HOUR: 10:00 PM,11:30 PM,MIDNIGHT,108
224,7293,,2:00 AM,2:30 AM,270
225,7294,Food to be available at all times.,2:00 AM,2:30 AM,193
226,7295,NONE,1:00 AM,1:30 AM,40
227,7296,NONE,11:00 PM,11:30 PM,40
228,7297,NONE,2:00 AM,2:30 AM,230
229,7298,1) 8:00 A.M. OPENING.2) SERVICE OF ALCOHOL TO BEGIN AT NOON. 3) CLOSING HOUR AT 2:00 A.M. ALL PATRONS MUST BE OFF PREMISES BY 2:30 A.M.4) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 5) NO BAR.,2:00 A.M.,2:30 A.M.,28
230,7299,NONE,11:00 PM,11:30 PM,56
231,7300,NONE,1:00 AM,1:30 AM,75
232,7301,,2:00 AM,2:30 AM,130
233,7302,,1:00 AM,1:30 AM,181
234,7303,96 Persons Seated; 4-Persons Standing; 7 Staff. Total of 107-Persons Inside.,1:00 AM,1:30 AM,107
235,7304,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,1:00 AM,1:30 AM,20
236,7305,,1:00 AM,1:30 AM,175
237,7306,,2:00 AM,2:30 AM,120
238,7307,1.) Service of Alcohol on Sundays at 10:00 A.M. with brunch.,2:00 AM,2:30 AM,99
239,7308,Refer to document 45L for conditions  1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,1:00 AM,1:30 AM,122
240,7309,NONE,1:00 AM,1:30 AM,342
241,7310,,1:00 AM,1:30 AM,62
242,7311,1. No Bar  2. Malt and Wine with Liqueurs to be served only in conjunction with meals.,11:00 PM,11:30 PM,48
243,7312,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH FOOD.,MIDNIGHT,12:30 AM,87
244,7313,NONE,12:00 AM,12:30 AM,117
245,7314,NONE,2:00 AM,2:30 AM,240
246,7315,,1:00 AM,1:30 AM,48
247,7316,NONE,1:00 AM,1:30 AM,195
248,7317,NONE,1:00 AM,1:30 AM,99
249,7318,(1) WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. (2) NO BAR. (3) ONLY FOOD SERVICE IS ALLOWED 24 HOURS. (4) ALCOHOL SERVICE TO BEGIN AT 10:00 A.M. WITH BRUNCH ON SUNDAYS.,1:00 AM,1:30 AM,198
250,7319,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR,10:00 PM,10:30 PM,44
251,7320,1.) PATIO TO CLOSE AT 11:00 P.M.  2.) ALCOHOL SERVED ONLY IN CONJUNCTION WITH FOOD ON THE PATIO.  3.) NO-ONE ADMITTED AFTER MIDNIGHT OTHER THAN REGISTERED GUESTS  OF THE HOTEL.  4.) BOARD TO BE NOTIFIED OF ANY ENTERTAINMENT LICENSE REQUEST.,2:00 AM,NULL,0
252,7321,PATIO CONDITIONS: 1) MUST CLOSEAT 11:00 P.M.; 2) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS; AND3) MUSTBE STAFFED AT ALL TIMES.,1:00 AM,1:30 AM,97
253,7322,1) NO BAR. 2) ALCOHOL ONLY WITH FOOD. 3) 2:00 A.M. FOR ALCOHOLIC BEVERAGES  4:00 A.M. FOR FOOD ONLY,2:00 AM,2:30 AM,552
254,7323,A.) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS  B.) NO BAR  C.) 11:00 P.M. CLOSING,11:00 PM,11:30 PM,280
255,7324,NONE,1:00 AM,1:30 AM,48
256,7325,NONE,1:00 AM,1:30 AM,214
257,7326,NONE,1:00 AM,1:30 AM,782
258,7327,,2:00 AM,2:30 AM,54
259,7328,,2:00 AM,2:30 AM,297
260,7329,11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,2:00 AM,NULL,0
261,7330,1.) MALT  WINE AND LIQUEURS SERVED WITH FOOD ONLY.  2.) SERVICE BAR ONLY,1:00 AM,1:30 AM,48
262,7331,NONE,1:00 AM,1:30 AM,81
263,7332,NONE,2:00 AM,2:30 AM,146
264,7333,NONE,1:00 AM,1:30 AM,0
265,7334,NONE,2:00 AM,NULL,0
266,7335,1.Alcoholic beverages may be served only with a menu item in the dining room and on the outside patio. 2.Outdoor patio to close at 10 PM. 3.Opening hour of 11:30 AM on Sundays. 4.Closing hour of 2:00 AM on Friday and Saturday with a closing hour of 1:00 AM on the evenings of Sunday to Thursday,1:00 AM,1:30 AM,235
267,7336,NONE,2:00 AM,2:30 AM,360
268,7337,1) MAY START SERVICEOF ALCOHOLIC BEVERAGES ON SUNDAYS AT10:00 A.M. WITH BRUNCH.,2:00 AM,2:30 AM,248
269,7338,,1:00 AM,1:30 AM,49
270,7339,NONE,11:00 PM,11:30 PM,0
271,7340,1st floor-122 Persons Standing; 43-Persons Banquet Seating; 31- Persons Bar Stools; 48-Tables; Total 244 Persons; 2nd floor-105 Persons Standing; 15 Persons Bar Stools; 63 Persons Tables; Total 83;,2:00 AM,2:30 AM,427
272,7341,NONE,2:00 AM,2:30 AM,338
273,7342,NONE,2:00 AM,2:30 AM,343
274,7343,,10:00 PM,10:30 PM,18
275,7344,1) UNIFORMED SECURITY GUARD MUST BE STATIONED IN FRONT OF PREMISES FROM 11:00 P.M. TO 1:00 A.M.; 2)GUARDMUST BE INSTRUCTED TO MOVE LOITERERS; 3) GUARDMUST BE INSTRUCTED TO CALL POLICE IF HE/SHE OBSERVES ANY ILLEGAL ACTIVITY; 4) DOOR MUST REMAIN CLOSED TO PREVENT NOISE; 5) LICENSEEMUST RESPOND TO NEIGHBORHOOD COMPLAINTS WITHIN 24 HOURS  MUST ATTEND BVNA MONTHLY MEETINGS; and 6) LICENSEEMUST MEET WITH BPD COMMUNITY LIASON ON A MONTHLY BASIS.,MIDNIGHT,12:30 AM,288
276,7345,WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.,11:00 PM,11:30 PM,39
277,7346,CONDITIONS AS AGREED WITH BVNA: 12:30 A.M. CLOSING HOUR 1.) RATIO OF BAR STOOLS TO DINING TABLE SEATS SHALL NOT EXCEED ONE (1) TO EIGHT (8). 2.) LICENSEE SHALL PROVIDE THAT AT ALL TIMES WHEN ALCOHOL IS SERVED  A FULL BREAKFAST  LUNCH OR DINNER MENU SHALL BE MADE AVAILABLE IN ALL AREAS WHERE ALCOHOL IS SERVED. 3.) LICENSEE HAS ENTERED INTO AND SIGNED AN AGREEMENT WITH THE BAY VILLAGE NEIGHBORHOOD ASSOCIATION. SAID AGREEMENT IS HEREBY INCORPORATED BY REFERENCE.,12:30 AM,1:00 AM,323
278,7347,1. NO BAR  2. Malt and Wine to be served only in conjunction with meals.,11:00 PM,11:30 PM,49
279,7348,NONE,1:00 AM,1:30 AM,70
280,7349,,2:00 AM,2:30 AM,185
281,7350,NONE,NULL,2:30 A.M.,150
282,7351,ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.  PATIO CONDITIONS:  ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD; TO BE STAFFED AT ALL TIMES.,2:00 AM,2:30 AM,907
283,7352,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 10:00 AM TO NOON.,1:00 AM,1:30 AM,180
284,7353,NONE,2:00 AM,2:30 AM,240
285,7354,,1:00 AM,1:30 AM,92
286,7355,NONE,1:00 AM,1:30 AM,360
287,7356,,2:00 AM,2:30 AM,32
288,7357,,1:00 AM,1:30 AM,80
289,7358,,2:00 AM,2:30 AM,94
290,7359,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS OPENING AT 10:00 A.M.,2:00 AM,2:30 AM,150
291,7360,NONE,2:00 AM,NULL,0
292,7361,NONE,1:00 a.m.,1:30 a.m.,140
293,7362,11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,2:00 AM,2:30 AM,0
294,7363,1) Valet parking plan per agreement; and2) trash stored inside. The Board granted permission to serve alcohol with brunch on Sunday mornings.,1:00 AM,1:30 AM,83
295,7364,NONE,1:00 AM,1:30 AM,19
296,7365,1) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2) NO BAR. 3) ALCOHOL SERVICE TO STOP AT 11:00 PM. 4) FOOD SERVICE ONLY FROM 11:00 PM TO 2:00 AM. 5) PATIO OPERATING HOURS ARE 11:00 AM - 10:00 PM.,2:00 AM,2:30 AM,49
297,7366,LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON THE PREMISES,2:00 AM,2:30 AM,720
298,7367,,2:00 AM,2:30 AM,67
299,7368,1. alcohol served only on conjunction with food at all table seats  throughout restaurant. 2. Menu service available at all times at the bar 3. Deliveries to be made from Boylston street but deliveries which must be made from the alley can only be done between 8:00 AM to 4:00 P.M.,2:00 AM,2:30 AM,345
300,7369,(BASEMENT 3 STAFF  FIRST FLOOR 28 SEATED AND 3 STANDING  SECOND FLOOR 42 SEATED  3 STANDING),12:30 AM,1:00 AM,76
301,7370,,MIDNIGHT,12:30 AM,90
302,7371,Patio Conditions: 1.) 10:00 PM Closing  2.) Alcohol to be served in conjunction with food only.  3.) Patio to be staffed at all times.,1:00 AM,1:30 AM,117
303,7372,1) ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS STARTING AT 10:00 A.M. 2) OUTDOOR SEASONAL PATIO OPERATING HOURS ARE 10 A.M.-11:00 P.M.,2:00 AM,NULL,0
304,7373,WINDOWS CLOSED AT 8:00 PM. NO CHANGES FOR 1 YEAR.,12:00 AM,12:30 AM,150
305,7374,NONE,11:00 PM,11:30 PM,76
306,7375,NONE,1:00 AM,1:30 AM,92
307,7376,,2:00 AM,2:30 AM,100
308,7377,NONE,2:00 AM,2:30 AM,108
309,7378,1. Only twelve stools at bar for lunch. 2. No standees at bar.,1:00 AM,1:30 AM,124
310,7379,NONE,2:00 AM,2:30 AM,295
311,7380,1.) WINE  MALT AND LIQUEURS ONLY SERVED WITH A FULL MEAL.,1:00 AM,1:30 AM,97
312,7381,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) 1:00 A.M. CLOSING HOUR.,1:00 AM,1:30 AM,116
313,7382,* Open at 10:00 AM for service of foods only and service of alcoholic with brunch at 11:00 AM on Sunday.   * No patrons shall  be admitted after 12:30 Midnight.  PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS  2.) 11:00 PM CLOSING HOUR  3.) TO BE STAFFED AT ALL TIMES,2:00 AM,2:30 AM,180
314,7383,,2:00 AM,2:30 AM,163
315,7384,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM 10:00 A.M. - NOON.  PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) TO BE STAFFED AT ALL TIMES  3.) 2:00 A.M. CLOSING HOUR,2:00 AM,2:30 AM,148
316,7385,The Board granted permission to open at 10:00 A.M. on Sundays for service of alcoholic beverages with brunch.,2:00 AM,2:30 AM,400
317,7386,Airport License,2:00 a.m.,2:30 a.m.,172
318,7387,,1:00 AM,1:30 AM,64
319,7388,1. ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  PATIO CONDITIONS: A.) 10:00 P.M. PATIO  CLOSING  B.) ALCOHOL SERVICE WITH FOOD ONLY. ALCOHOLIC BEVERAGES SERVED  IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00A.M.,1:00 AM,1:30 AM,120
320,7389,1. Alcohlic Beverages to be sold only with meals. 2. Alcoholic Beverages not to be sold in conjunction with live entertainment. 3. No outside Advertising of alcohol. 4. Service bar only  dining counter permitted.,11:00 PM,11:30 PM,138
321,7390,NONE,2:00 AM,NULL,0
322,7391,NONE,2:00 AM,NULL,0
323,7392,OUTDOOR SEASONAL (APRIL-OCT.) PATIO OPERATING HOURS 11:00 A.M. - 2:00 A.M.,2:00 AM,2:30 AM,138
324,7393,NONE,2:00 AM,2:30 AM,174
325,7394,THE BOARD APPROVED A 10:00 AM OPENING HOUR.,2:00 AM,2:30 AM,285
326,7395,,2:00 AM,2:30 AM,99
327,7396,1. Close at 11:30 P.M. 2. Alcoholic Beverages served Only with food orders.3. 1 Bar with 12 seats.,11:30 PM,MIDNIGHT,116
328,7397,1.) DINING ROOM - ALCOHOLIC BEVERAGES WITH FOOD ONLY  2.) 80 PEOPLE ON SECOND FLOOR  3.) UPSTAIRS FOR DINNER PATRONS ONLY,1:00 AM,1:30 AM,190
329,7398,PATIO CONDITIONS:  1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) TO BE STAFFED AT ALL TIMES.  Capacity breakdown: 176 persons: 1st fl - 93; basement - 83.,2:00 AM,2:30 AM,176
330,7399,NONE,2:00 AM,2:30 AM,0
331,7400,NONE,12:00 AM,12:30 AM,0
332,7401,A.) SERVICE OF ALCOHOL WITH FOOD ON PATIO.  B.) PATIO TO CLOSE AT 11:00 P.M.  C.) FOOD SERVICE AVAILABLE AT ALL TIMES.,1:00 AM,1:30 AM,86
333,7402,,1:00 AM,1:30 AM,99
334,7403,PATIO CONDITIONS:  1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) 11:00 P.M. CLOSING,2:00 AM,2:30 AM,113
335,7404,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR,11:00 PM,11:30 PM,75
336,7405,No service to patrons on patio after 11:00 P.M.,1:00 AM,1:30 AM,104
337,7406,1.  Malt  Wine and Liqueurs to be seved only in conjunction with meals.  2.  No bar.,MIDNIGHT,12:30 AM,70
338,7407,1:00 AM - 2:00 AM FOR THE SERVICE OF FOOD ONLY  ABSOLUTELY NO ALCOHOLIC BEVERAGES CAN BE SERVED BETWEEN 1:00 AM - 2:00 AM.,2:00 AM,2:30 AM,48
339,7408,NONE,2:00 AM,2:30 AM,56
340,7409,1) Columbus Ave. door must be closed to the public at 12:30 A.M. Hotel entrance to be used as entrance and exit. 2) Sunday opening at11:00 A.M. for alcohol service.PATIO CONDITIONS: 1) Alcohol service in conjunction with food only;2)patio to be staffed at all times; and 3) Patio closing hours -- Sunday through Wednesday  10:00 PM  Thursday through Saturday 10:30 PM.,2:00 AM,2:30 AM,258
341,7410,MONDAY-FRIDAY 11:30 AM-MIDNIGHT  SATURDAY 2:00 PM-MIDNIGHT AND SUNDAY 3:00 PM-MIDNIGHT.,12:00 A.M.,12:30 AM,19
342,7411,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,10:00 PM,10:30 PM,46
343,7412,LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON THE PREMISES.,2:00 AM,2:30 AM,185
344,7413,5:00 A.M. opening  for service Breakfast only.,1:00 AM,1:30 AM,188
345,7414,,2:00 AM,2:30 AM,149
346,7415,NONE,2:00 AM,2:30 AM,0
347,7416,,2:00 AM,2:30 AM,290
348,7417,NONE,2:00 AM,2:30 AM,72
349,7418,1.  Outdoor patio to close at 10:00 P.M. 2.  Alcohol to be served only with food on Outdoor Patio,1:00 AM,1:30 AM,101
350,7419,NONE,2:00 AM,NULL,0
351,7420,NONE,NULL,2:30 AM,49
352,7421,NONE,2:00 AM,2:30 AM,99
353,7422,NONE,1:00 AM,1:30 AM,1727
354,7423,MUST RECEIVE PRIOR WRITTEN PERMISSION OF BOARD FOR ANY FUNCTIONS OUTSIDE OF THEATER RELATED OR COLLEGE RELATED EVENTS.,MIDNIGHT,12:30 AM,1157
355,7424,1) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2) NO BAR.,11:00 PM,11:30 PM,54
356,7425,NONE,2:00 AM,2:30 AM,801
357,7426,OUTDOOR PATIO'S OPERATING HOURS ARE 11:00 AM - 10:00 PM.,2:00 AM,2:30 AM,200
358,7427,1) NO BAR.2) ALCOHOL WITH FOOD ONLY. 3) PATIO CLOSING HOUR 9:00 P.M. 4) PATIO TO BE STAFFED AT ALL TIMES.,11:00 PM,11:30 PM,49
359,7428,Capacity breakdown: cafe - 69; bar - 15; lounge dining - 24; dining - 60.,2:00 AM,2:30 AM,168
360,7429,CAPACITY BREAKDOWN: 398 PERSONS TOTAL: 215 PERSONS EASTERN STANDARD; 183 PERSONS HAWTHORNE LOUNGE,2:00 AM,2:30 AM,398
361,7430,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,MIDNIGHT,12:30 AM,87
362,7431,NONE,1:00 AM,1:30 AM,80
363,7432,WINES AND MALT BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.,11:00 PM,11:30 PM,49
364,7433,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,1:00 AM,1:30 AM,98
365,7434,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  PATIO CONDITIONS:  1.) 11:00 P.M. CLOSING  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  3.) MUST BE STAFFED AT ALL TIMES.,MIDNIGHT,12:30 AM,48
366,7435,NONE,2:00 AM,2:30 AM,871
367,7436,,1:00 AM,1:30 AM,1658
368,7437,,2:00 AM,2:30 AM,92
369,7438,A.) NO BAR B.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,MIDNIGHT,12:30 AM,66
370,7439,1:00 AM CLOSING HOUR MONDAY THROUGH THURSDAY. CLOSING HOUR FRIDAYS THROUGHSUNDAYS IS 2:00 A.M.,2:00 AM,2:30 AM,170
371,7440,NONE,11:00 PM,11:30 PM,80
372,7441,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,11:00 PM,11:30 PM,48
373,7442,NONE,2:00 AM,2:30 AM,99
374,7443,10:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,2:00 AM,NULL,0
375,7444,NONE,1:00 AM,1:30 AM,180
376,7445,1.) 10:00 AMSUNDAY OPENING HOUR TO SERVE ALCOHOL WITH BRUNCH.,2:00 AM,2:30 AM,336
377,7446,,1:00 AM,1:30 AM,78
378,7447,NONE,10:00 PM,10:30 PM,19
379,7448,A.) ALCOHOL SERVICE TO CEASE AT 12:30 A.M.  B.) ALL PATRONS MUST BE OFF THE PREMISES BY 1:00 A.M. C.) MUST MAINTAIN VALID VALET PERMIT & AGREEMENT FOR OFF SITE VALET PARKING.,1:00 AM,1:30 AM,200
380,7449,NONE,1:00 a.m.,1:30 a.m.,250
381,7450,Door on Dwight Street for emergency exit only.,2:00 AM,2:30 AM,138
382,7451,,1:00 AM,1:30 AM,156
383,7452,,2:00 AM,2:30 AM,262
384,7453,1.) NO BAR  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,MIDNIGHT,12:30 AM,40
385,7454,NONE,1:00 a.m.,1:30 a.m.,86
386,7455,NONE,2:00 AM,2:30 AM,142
387,7456,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,1:00 AM,1:30 AM,24
388,7457,,1:00 AM,1:30 AM,118
389,7458,NONE,2:00 AM,2:30 AM,334
390,7459,,2:00 AM,2:30 AM,84
391,7460,,1:00 AM,1:30 AM,180
392,7461,11:00 A.M. ON SUNDAYS FOR THE SERVICE OF ALCOHOLIC BEVERAGE WITH FOOD ONLY.,2:00 AM,NULL,0
393,7462,MALT  WINE AND LIQUEUR BEVERAGES TO BE SERVED IN CONJUNCTION WITH MEALS ONLY.,1:00 AM,1:30 AM,38
394,7463,Service of Food until 4 A.M.  ONLY,MIDNIGHT,12:30 AM,82
395,7464,1.) ALCOHOL SERVICE WITH FOOD ONLY  2.) 1:00 A.M. CLOSING  3.) PATIO TO BE STAFFED AT ALL TIMES,2:00 AM,2:30 AM,699
396,7465,,2:00 AM,2:30 AM,341
397,7466,NONE,MIDNIGHT,12:30 AM,240
398,7467,THE BOARD ALLOWS BOTTLE SERVICE ON THE PREMISES.,2:00 AM,2:30 AM,49
399,7468,NONE,Midnight,12:30 AM,44
400,7469,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,1:00 AM,1:30 AM,58
401,7470,1.) NO BAR  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,11:00 PM,11:30 PM,38
402,7471,50% of tables to be used for all alcoholic beverages comsumption only in conjunction with meals.,2:00 AM,2:30 AM,286
403,7472,,1:00 AM,1:30 AM,99
404,7473,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON. Open on Sundays at 9:00 A.M. for the service of food Only.,1:00 AM,1:30 AM,299
405,7474,,2:00 AM,2:30 AM,102
406,7475,1.Open 10:00 A.M on Sundays for the service of food only. 2. 310 persons on daytime and 693 persons on night time.,2:00 AM,2:30 AM,693
407,7476,NONE,11:00 PM,11:30 PM,40
408,7477,ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS AT 10:00 A.M.,2:00 AM,2:30 AM,63
409,7478,PATIO CONDITIONS: 1) HOURS 11:00 A.M. - 11:00 P.M.;  AND 2) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH SUNDAYS 10:00 AM.,2:00 AM,2:30 AM,689
410,7479,ALCOHOLIC BEVARAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,180
411,7480,1.  Closing hour at 1:00AM.  2.  Alcohol with food only at tables.  3.  Capacity of 117 persons-1st floor and 102 persons-2nd floor and 136 persons basement. 4.  Service bar only in Basement.  5. Garbage to be stored in rodentproof facility inside restaurant & put out for pick-up one half hour before collection time.  No outside garbage storage.  6. No TV screens/monitors in dining section. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,355
412,7481,NO BAR IN RESTAURANT. THE BOARD EXTENDED THE CLOSING HOUR ON FRIDAY/SATURDAY  SUNDAYS TO 2:00 A.M.,1:00 AM,1:30 AM,134
413,7482,NONE,2:00 AM,NULL,0
414,7483,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR,1:00 AM,1:30 AM,36
415,7484,1.  Street entrance to be used as emergency exit only.  2.  Entrance to the restaurant only by hotel lobby.  3.) Sunday opening at 11:00 A.M. for alcohol service.,2:00 AM,2:30 AM,300
416,7485,27-PERSONS BAR STOOLS; 48-PERSONS TABLE  CHAIRS; 20-PERSONS STANDING.,1:00 AM,1:30 AM,95
417,7486,5/19/08 Board approved bottle service. PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) PATIO CLOSING HOUR: 11:00 P.M.,2:00 AM,2:30 AM,449
418,7487,NONE,2:00 AM,2:30 AM,80
419,7488,CLOSING HOUR: 11:00 PM: FRIDAY AND SATURDAY 10:00PM: SUNDAY THROUGH THURSDAY,11:00 PM,11:30 PM,260
420,7489,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.  3.) CLOSING HOUR: SUN-THURS 10:30 P.M.  FRI & SAT 11:30 P.M.,10:30 PM,11:00 PM,49
421,7490,,2:00 AM,2:30 AM,250
422,7491,Capacity breakdown: Basement - 49; First Floor Set Up 1 (320 total)- 14 @ bar stools  55 @ seats  251 standing; First Floor Set Up 2 (170 total) - 14 @ bar stools  126 @ tables  chairs  30 standing.,2:00 AM,2:30 AM,369
