LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
47,7116,1. Trash Picked up 3 times a week. 2. Discount Parking. 3. Alcohol shall be served only in conjunction with food ordered from the menu at all table seats  booths  & patio seats. Food will be available at the (14) bar stools and (12) high top seats. 4. Patio service shall end no later than Midnight.,2:00 AM,2:30 AM,264
48,7117,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11AM TO NOON.,1:00 AM,1:30 AM,226
49,7118,(1) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. (2) NO BAR. (3) PATIO TO CLOSE AT 10:00 PM. (4)TRASH TO BE COMPACTED AND STORED INSIDE AND PUT OUT NO MORE THAN ONE HOUR BEFORE COLLECTION IN RODENT-PROOF CONTAINERS. (5)DELIVERIES TO OCCUR BETWEEN 7:00 A.M. AND 11:00 P.M. AND NOT BETWEEN THE HOURS OF 8:00 A.M. AND 10:00 A.M. NOR BETWEEN THE HOURS OF 4:00 P.M. AND 6:00 P.M. (6) ALL SIGNAGE AND EXTERIOR CHANGES TO COMPLY WITH ZONING REQUIREMENTS AND TO BE APPROVED BY THE BACK BAY ARCHITECTURAL COMMISSION.,11:00 PM,11:30 PM,19
50,7119,2 Valet Parking if exceeds 40,2:00 AM,2:30 AM,349
51,7120,na,2:00 AM,2:30 AM,65
52,7121,NONE,2:00 AM,2:30 AM,264
53,7122,1.) CLOSING HOUR: 1:00 AM FRIDAY - SATURDAY - AND HOLIDAYS MIDNIGHT ON OTHER DAYS.  2.) NO BAR  3.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS AT TABLES.  4.) ALCOHOL SERVICE WITHOUT FOOD ALLOWED FOR WAITING PATRONS.,12:00 AM,12:30 AM,92
54,7123,1.) SUNDAY OPENING AT 11:00 A.M. FOR THE SERVICE OF ALCOHOL.,2:00 AM,2:30 AM,704
55,7124,,1:00 AM,1:30 AM,68
56,7125,NONE,11:00 PM,11:30 PM,49
57,7126,NONE,2:00 AM,NULL,0
58,7127,NONE,2:00 AM,2:30 AM,71
59,7128,1.) MALT WINE AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR.,11:00 PM,11:30 PM,14
60,7129,NONE,11:00 PM,11:30 PM,36
61,7130,ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,96
62,7131,NONE,1:00 AM,1:30 AM,461
63,7132,Open at 10:00 A.M. on Sundays for the service of food only. ONE coin-operated pool table.,2:00 AM,2:30 AM,143
64,7133,NONE,2:00 AM,2:30 AM,151
65,7134,NONE,2:00 AM,2:30 AM,0
66,7135,1:00 A.M. for deliveries only.,11:00 PM,11:30 PM,149
67,7136,MIDNIGHT CLOSING HOUR: SUNDAY - THURSDAY 1:00 A.M. CLOSING HOUR: FRIDAY AND SATURDAY.,MIDNIGHT,12:30 AM,95
68,7137,OPEN AT 6:00 A.M. FOR THE SERVICE OF FOOD ONLY,1:00 AM,1:30 AM,147
69,7138,NONE,2:00 AM,2:30 AM,180
70,7139,COMMERCIAL CLUB DESIGNATION,2:00 AM,2:30 AM,200
71,7140,NONE,1:00 AM,1:30 AM,4498
72,7141,NONE,1:00 AM,1:30 AM,49
73,7142,NONE,12:00 AM,12:30 AM,16
74,7143,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) MUST BE STAFFED AT ALL TIMES  3.) 11:00 P.M. CLOSING,1:00 AM,1:30 AM,220
75,7144,NONE,2:00 AM,2:30 AM,64
76,7145,1. ALCOHOLIC BEVERAGES WITH FOOD ONLY. 11:00 AM OPENING ON SUNDAYS FOR BRUNCH.,2:00 AM,2:30 AM,110
77,7146,A.) ALCOHOL WITH FOOD ONLY B.) NO BAR,10:00 PM,10:30 PM,19
78,7147,1. SERVICE BAR ONLY,MIDNIGHT,12:30 AM,60
79,7148,NONE,1:00 AM,1:30 AM,45
80,7149,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY,1:00 AM,1:30 AM,95
81,7150,NONE,MIDNIGHT,12:30 AM,80
82,7151,,2:00 AM,2:30 AM,1076
83,7152,NONE,Midnight,12:30 AM,0
84,7153,NONE,1:00 AM,1:30 AM,98
85,7154,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,10:00 PM,10:30 PM,36
86,7155,1.  Alcoholic beverages to be served only in conjunction with meals.  2.  11:00 P.M. closing on the patio.,1:00 AM,1:30 AM,127
87,7156,NONE,1:00 AM,1:30 AM,222
88,7157,NONE,1:00 AM,1:30 AM,56
89,7158,NONE,2:00 AM,2:30 AM,91
90,7159,,2:00 AM,2:30 AM,325
91,7160,NONE,2:00 AM,2:30 AM,0
92,7161,NONE,2:00 AM,2:30 AM,94
